G11_shinriki
06.09.2021
19:34:38
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

2,252E+0 1,771E-1 4,398E-1 2,998E-1 -6,583E-2 3,003E+1 2,030E+0
1,612E+0 -2,468E-1 3,633E-1 0,000E+0 0,000E+0 1,141E+3 2,816E-7
1,590E+0 -2,566E-1 3,565E-1 0,000E+0 0,000E+0 1,171E+3 8,757E-8
1,569E+0 -2,658E-1 3,491E-1 0,000E+0 0,000E+0 1,201E+3 2,696E-5
1,547E+0 -2,750E-1 3,422E-1 0,000E+0 0,000E+0 1,231E+3 9,274E-5
1,526E+0 -2,837E-1 3,346E-1 0,000E+0 0,000E+0 1,261E+3 2,243E-5
1,504E+0 -2,924E-1 3,272E-1 0,000E+0 0,000E+0 1,291E+3 1,826E-7
1,483E+0 -3,005E-1 3,193E-1 0,000E+0 0,000E+0 1,321E+3 1,067E-6
1,461E+0 -3,084E-1 3,113E-1 0,000E+0 0,000E+0 1,351E+3 2,876E-5
1,439E+0 -3,161E-1 3,035E-1 0,000E+0 0,000E+0 1,381E+3 1,836E-3
1,418E+0 -3,232E-1 2,951E-1 0,000E+0 0,000E+0 1,411E+3 2,890E-3
1,397E+0 -3,298E-1 2,874E-1 0,000E+0 0,000E+0 1,441E+3 2,421E-4
1,374E+0 -3,364E-1 2,785E-1 0,000E+0 0,000E+0 1,471E+3 2,520E-6
1,353E+0 -3,423E-1 2,703E-1 0,000E+0 0,000E+0 1,502E+3 3,786E-7
1,331E+0 -3,484E-1 2,612E-1 0,000E+0 0,000E+0 1,532E+3 1,164E-6
1,309E+0 -3,537E-1 2,525E-1 0,000E+0 0,000E+0 1,562E+3 1,169E-5
1,287E+0 -3,589E-1 2,439E-1 0,000E+0 0,000E+0 1,592E+3 8,142E-6
1,265E+0 -3,632E-1 2,352E-1 0,000E+0 0,000E+0 1,622E+3 2,620E-7
1,243E+0 -3,678E-1 2,263E-1 0,000E+0 0,000E+0 1,652E+3 3,752E-8
1,221E+0 -3,714E-1 2,173E-1 0,000E+0 0,000E+0 1,682E+3 9,764E-8
1,199E+0 -3,746E-1 2,086E-1 0,000E+0 0,000E+0 1,712E+3 7,001E-5
1,177E+0 -3,775E-1 1,992E-1 0,000E+0 0,000E+0 1,742E+3 3,637E-4
1,155E+0 -3,803E-1 1,901E-1 0,000E+0 0,000E+0 1,772E+3 1,183E-4
1,134E+0 -3,821E-1 1,811E-1 0,000E+0 0,000E+0 1,802E+3 1,477E-7
1,111E+0 -3,839E-1 1,720E-1 0,000E+0 0,000E+0 1,832E+3 2,363E-8
1,090E+0 -3,854E-1 1,630E-1 0,000E+0 0,000E+0 1,862E+3 8,909E-8
1,067E+0 -3,862E-1 1,539E-1 0,000E+0 0,000E+0 1,892E+3 6,423E-6
1,046E+0 -3,867E-1 1,449E-1 0,000E+0 0,000E+0 1,922E+3 1,391E-5
1,024E+0 -3,871E-1 1,361E-1 0,000E+0 0,000E+0 1,952E+3 2,015E-6
1,002E+0 -3,872E-1 1,273E-1 0,000E+0 0,000E+0 1,982E+3 3,902E-8
9,805E-1 -3,864E-1 1,187E-1 0,000E+0 0,000E+0 2,012E+3 6,795E-8
9,589E-1 -3,853E-1 1,096E-1 0,000E+0 0,000E+0 2,042E+3 2,039E-6
9,370E-1 -3,839E-1 1,008E-1 0,000E+0 0,000E+0 2,072E+3 4,848E-5
9,153E-1 -3,821E-1 9,220E-2 0,000E+0 0,000E+0 2,102E+3 4,876E-5
8,941E-1 -3,800E-1 8,331E-2 0,000E+0 0,000E+0 2,132E+3 2,136E-6
8,727E-1 -3,774E-1 7,476E-2 0,000E+0 0,000E+0 2,162E+3 5,855E-8
8,514E-1 -3,747E-1 6,686E-2 0,000E+0 0,000E+0 2,192E+3 2,977E-8
8,307E-1 -3,716E-1 5,830E-2 0,000E+0 0,000E+0 2,222E+3 6,618E-7
8,101E-1 -3,678E-1 5,007E-2 0,000E+0 0,000E+0 2,252E+3 4,827E-6
7,895E-1 -3,642E-1 4,200E-2 0,000E+0 0,000E+0 2,282E+3 2,149E-6
7,690E-1 -3,601E-1 3,427E-2 0,000E+0 0,000E+0 2,312E+3 2,921E-8
7,486E-1 -3,555E-1 2,637E-2 0,000E+0 0,000E+0 2,342E+3 5,591E-9
7,286E-1 -3,504E-1 1,896E-2 0,000E+0 0,000E+0 2,372E+3 3,490E-8
7,087E-1 -3,453E-1 1,123E-2 0,000E+0 0,000E+0 2,402E+3 2,536E-5
6,890E-1 -3,400E-1 3,656E-3 0,000E+0 0,000E+0 2,432E+3 7,989E-5
6,699E-1 -3,341E-1 -3,421E-3 0,000E+0 0,000E+0 2,462E+3 1,606E-5
6,511E-1 -3,281E-1 -1,050E-2 0,000E+0 0,000E+0 2,492E+3 2,853E-8
6,330E-1 -3,221E-1 -1,708E-2 0,000E+0 0,000E+0 2,523E+3 1,399E-8
6,144E-1 -3,153E-1 -2,399E-2 0,000E+0 0,000E+0 2,553E+3 6,786E-8
5,966E-1 -3,082E-1 -3,074E-2 0,000E+0 0,000E+0 2,583E+3 1,866E-6
5,789E-1 -3,013E-1 -3,683E-2 0,000E+0 0,000E+0 2,613E+3 2,579E-6
5,616E-1 -2,942E-1 -4,325E-2 0,000E+0 0,000E+0 2,643E+3 2,184E-7
5,451E-1 -2,865E-1 -4,918E-2 0,000E+0 0,000E+0 2,673E+3 9,953E-9
5,285E-1 -2,788E-1 -5,543E-2 0,000E+0 0,000E+0 2,703E+3 8,896E-9
5,127E-1 -2,710E-1 -6,086E-2 0,000E+0 0,000E+0 2,733E+3 1,691E-7
4,972E-1 -2,626E-1 -6,629E-2 0,000E+0 0,000E+0 2,763E+3 1,827E-6
4,818E-1 -2,546E-1 -7,189E-2 0,000E+0 0,000E+0 2,793E+3 1,219E-6
4,668E-1 -2,460E-1 -7,650E-2 0,000E+0 0,000E+0 2,823E+3 3,502E-8
4,528E-1 -2,373E-1 -8,143E-2 0,000E+0 0,000E+0 2,853E+3 8,669E-9
4,390E-1 -2,284E-1 -8,604E-2 0,000E+0 0,000E+0 2,883E+3 7,225E-9
4,261E-1 -2,197E-1 -9,032E-2 0,000E+0 0,000E+0 2,913E+3 6,234E-7
4,140E-1 -2,105E-1 -9,444E-2 0,000E+0 0,000E+0 2,943E+3 2,757E-6
4,018E-1 -2,016E-1 -9,822E-2 0,000E+0 0,000E+0 2,973E+3 8,321E-7
3,906E-1 -1,922E-1 -1,020E-1 0,000E+0 0,000E+0 3,003E+3 4,735E-9
3,794E-1 -1,825E-1 -1,058E-1 0,000E+0 0,000E+0 3,033E+3 8,745E-9
3,694E-1 -1,733E-1 -1,094E-1 0,000E+0 0,000E+0 3,063E+3 9,488E-8
3,598E-1 -1,637E-1 -1,124E-1 0,000E+0 0,000E+0 3,093E+3 7,890E-6
3,509E-1 -1,539E-1 -1,153E-1 0,000E+0 0,000E+0 3,123E+3 1,568E-5
3,424E-1 -1,443E-1 -1,183E-1 0,000E+0 0,000E+0 3,153E+3 1,893E-6
3,351E-1 -1,346E-1 -1,208E-1 0,000E+0 0,000E+0 3,183E+3 2,465E-8
3,280E-1 -1,247E-1 -1,232E-1 0,000E+0 0,000E+0 3,213E+3 1,376E-8
3,216E-1 -1,148E-1 -1,254E-1 0,000E+0 0,000E+0 3,243E+3 2,824E-8
3,159E-1 -1,045E-1 -1,272E-1 0,000E+0 0,000E+0 3,273E+3 3,306E-7
3,109E-1 -9,476E-2 -1,292E-1 0,000E+0 0,000E+0 3,303E+3 3,183E-7
3,067E-1 -8,473E-2 -1,308E-1 0,000E+0 0,000E+0 3,333E+3 2,029E-8
3,029E-1 -7,501E-2 -1,320E-1 0,000E+0 0,000E+0 3,363E+3 2,755E-9
2,999E-1 -6,514E-2 -1,329E-1 0,000E+0 0,000E+0 3,393E+3 2,908E-9
2,974E-1 -5,526E-2 -1,338E-1 0,000E+0 0,000E+0 3,423E+3 3,087E-8
2,958E-1 -4,523E-2 -1,348E-1 0,000E+0 0,000E+0 3,453E+3 1,236E-7
2,948E-1 -3,535E-2 -1,349E-1 0,000E+0 0,000E+0 3,483E+3 6,689E-8
2,946E-1 -2,548E-2 -1,348E-1 0,000E+0 0,000E+0 3,514E+3 4,956E-9
2,951E-1 -1,576E-2 -1,353E-1 0,000E+0 0,000E+0 3,544E+3 3,171E-9
2,966E-1 -6,054E-3 -1,351E-1 0,000E+0 0,000E+0 3,574E+3 6,951E-9
2,986E-1 3,985E-3 -1,348E-1 0,000E+0 0,000E+0 3,604E+3 3,421E-7
3,014E-1 1,370E-2 -1,341E-1 0,000E+0 0,000E+0 3,634E+3 9,594E-7
3,047E-1 2,341E-2 -1,333E-1 0,000E+0 0,000E+0 3,664E+3 1,894E-7
3,091E-1 3,295E-2 -1,318E-1 0,000E+0 0,000E+0 3,694E+3 4,742E-9
3,141E-1 4,200E-2 -1,311E-1 0,000E+0 0,000E+0 3,724E+3 5,991E-9
3,198E-1 5,171E-2 -1,297E-1 0,000E+0 0,000E+0 3,754E+3 5,537E-8
3,261E-1 6,077E-2 -1,280E-1 0,000E+0 0,000E+0 3,784E+3 1,557E-6
3,335E-1 6,982E-2 -1,259E-1 0,000E+0 0,000E+0 3,814E+3 2,026E-6
3,414E-1 7,871E-2 -1,236E-1 0,000E+0 0,000E+0 3,844E+3 1,510E-7
3,501E-1 8,776E-2 -1,214E-1 0,000E+0 0,000E+0 3,874E+3 6,754E-9
3,592E-1 9,648E-2 -1,185E-1 0,000E+0 0,000E+0 3,904E+3 4,606E-9
3,692E-1 1,049E-1 -1,160E-1 0,000E+0 0,000E+0 3,934E+3 1,107E-8
3,801E-1 1,133E-1 -1,132E-1 0,000E+0 0,000E+0 3,964E+3 6,368E-8
3,916E-1 1,220E-1 -1,101E-1 0,000E+0 0,000E+0 3,994E+3 4,354E-8
4,038E-1 1,296E-1 -1,066E-1 0,000E+0 0,000E+0 4,024E+3 4,341E-9
4,163E-1 1,378E-1 -1,033E-1 0,000E+0 0,000E+0 4,054E+3 3,186E-9
4,299E-1 1,457E-1 -9,970E-2 0,000E+0 0,000E+0 4,084E+3 3,807E-9
4,439E-1 1,533E-1 -9,625E-2 0,000E+0 0,000E+0 4,114E+3 7,478E-8
4,589E-1 1,605E-1 -9,180E-2 0,000E+0 0,000E+0 4,144E+3 2,726E-7
4,742E-1 1,681E-1 -8,752E-2 0,000E+0 0,000E+0 4,174E+3 8,061E-8
4,903E-1 1,750E-1 -8,341E-2 0,000E+0 0,000E+0 4,204E+3 2,725E-9
5,076E-1 1,817E-1 -7,929E-2 0,000E+0 0,000E+0 4,234E+3 3,921E-9
5,252E-1 1,888E-1 -7,419E-2 0,000E+0 0,000E+0 4,264E+3 6,126E-9
5,433E-1 1,954E-1 -6,958E-2 0,000E+0 0,000E+0 4,294E+3 1,559E-7
5,623E-1 2,015E-1 -6,448E-2 0,000E+0 0,000E+0 4,324E+3 2,749E-7
5,810E-1 2,076E-1 -6,004E-2 0,000E+0 0,000E+0 4,354E+3 3,870E-8
6,011E-1 2,137E-1 -5,461E-2 0,000E+0 0,000E+0 4,384E+3 3,754E-9
6,215E-1 2,191E-1 -4,983E-2 0,000E+0 0,000E+0 4,414E+3 4,809E-9
6,427E-1 2,247E-1 -4,391E-2 0,000E+0 0,000E+0 4,444E+3 3,561E-8
6,646E-1 2,298E-1 -3,897E-2 0,000E+0 0,000E+0 4,474E+3 3,309E-7
6,867E-1 2,347E-1 -3,321E-2 0,000E+0 0,000E+0 4,505E+3 2,609E-7
7,099E-1 2,398E-1 -2,778E-2 0,000E+0 0,000E+0 4,535E+3 1,255E-8
7,331E-1 2,444E-1 -2,218E-2 0,000E+0 0,000E+0 4,565E+3 3,158E-9
7,570E-1 2,490E-1 -1,609E-2 0,000E+0 0,000E+0 4,595E+3 3,697E-9
7,815E-1 2,530E-1 -1,017E-2 0,000E+0 0,000E+0 4,625E+3 9,282E-9
8,058E-1 2,573E-1 -4,902E-3 0,000E+0 0,000E+0 4,655E+3 3,628E-8
8,318E-1 2,612E-1 1,517E-3 0,000E+0 0,000E+0 4,685E+3 1,770E-8
8,582E-1 2,647E-1 8,100E-3 0,000E+0 0,000E+0 4,715E+3 1,920E-9
8,845E-1 2,681E-1 1,386E-2 0,000E+0 0,000E+0 4,745E+3 4,101E-9
9,112E-1 2,713E-1 1,979E-2 0,000E+0 0,000E+0 4,775E+3 3,091E-9
9,388E-1 2,744E-1 2,637E-2 0,000E+0 0,000E+0 4,805E+3 5,765E-8
9,661E-1 2,772E-1 3,262E-2 0,000E+0 0,000E+0 4,835E+3 1,274E-7
9,941E-1 2,797E-1 3,904E-2 0,000E+0 0,000E+0 4,865E+3 2,356E-8
1,023E+0 2,823E-1 4,513E-2 0,000E+0 0,000E+0 4,895E+3 3,711E-9
1,051E+0 2,843E-1 5,155E-2 0,000E+0 0,000E+0 4,925E+3 2,131E-9
1,080E+0 2,864E-1 5,797E-2 0,000E+0 0,000E+0 4,955E+3 5,333E-9
1,110E+0 2,881E-1 6,439E-2 0,000E+0 0,000E+0 4,985E+3 5,513E-8
1,140E+0 2,895E-1 7,081E-2 0,000E+0 0,000E+0 5,015E+3 5,749E-8
1,170E+0 2,912E-1 7,739E-2 0,000E+0 0,000E+0 5,045E+3 8,532E-9
1,201E+0 2,923E-1 8,381E-2 0,000E+0 0,000E+0 5,075E+3 2,418E-9
1,231E+0 2,935E-1 9,023E-2 0,000E+0 0,000E+0 5,105E+3 2,248E-9
1,262E+0 2,943E-1 9,632E-2 0,000E+0 0,000E+0 5,135E+3 9,010E-9
1,293E+0 2,951E-1 1,029E-1 0,000E+0 0,000E+0 5,165E+3 4,322E-8
1,324E+0 2,958E-1 1,092E-1 0,000E+0 0,000E+0 5,195E+3 3,023E-8
1,356E+0 2,958E-1 1,156E-1 0,000E+0 0,000E+0 5,225E+3 3,224E-9
1,388E+0 2,963E-1 1,223E-1 0,000E+0 0,000E+0 5,255E+3 2,751E-9
1,420E+0 2,964E-1 1,284E-1 0,000E+0 0,000E+0 5,285E+3 3,796E-9
1,452E+0 2,963E-1 1,353E-1 0,000E+0 0,000E+0 5,315E+3 1,025E-8
1,485E+0 2,963E-1 1,414E-1 0,000E+0 0,000E+0 5,345E+3 2,593E-8
1,517E+0 2,955E-1 1,470E-1 0,000E+0 0,000E+0 5,375E+3 8,955E-9
1,549E+0 2,953E-1 1,536E-1 0,000E+0 0,000E+0 5,405E+3 2,793E-9
1,581E+0 2,951E-1 1,595E-1 0,000E+0 0,000E+0 5,435E+3 2,790E-9
1,614E+0 2,943E-1 1,659E-1 0,000E+0 0,000E+0 5,465E+3 4,335E-9
1,646E+0 2,933E-1 1,720E-1 0,000E+0 0,000E+0 5,495E+3 2,811E-8
1,678E+0 2,925E-1 1,784E-1 0,000E+0 0,000E+0 5,526E+3 4,215E-8
1,710E+0 2,917E-1 1,842E-1 0,000E+0 0,000E+0 5,556E+3 7,774E-9
1,741E+0 2,904E-1 1,903E-1 0,000E+0 0,000E+0 5,586E+3 2,181E-9
1,772E+0 2,894E-1 1,962E-1 0,000E+0 0,000E+0 5,616E+3 2,228E-9
1,803E+0 2,882E-1 2,020E-1 0,000E+0 0,000E+0 5,646E+3 4,031E-9
1,833E+0 2,871E-1 2,077E-1 0,000E+0 0,000E+0 5,676E+3 1,418E-8
1,863E+0 2,856E-1 2,135E-1 0,000E+0 0,000E+0 5,706E+3 1,196E-8
1,891E+0 2,841E-1 2,194E-1 0,000E+0 0,000E+0 5,736E+3 3,143E-9
1,919E+0 2,828E-1 2,250E-1 0,000E+0 0,000E+0 5,766E+3 2,184E-9
1,946E+0 2,811E-1 2,308E-1 0,000E+0 0,000E+0 5,796E+3 1,514E-9
1,973E+0 2,793E-1 2,362E-1 0,000E+0 0,000E+0 5,826E+3 3,254E-9
1,998E+0 2,779E-1 2,421E-1 0,000E+0 0,000E+0 5,856E+3 8,470E-9
2,022E+0 2,765E-1 2,472E-1 0,000E+0 0,000E+0 5,886E+3 5,306E-9
2,044E+0 2,747E-1 2,530E-1 0,000E+0 0,000E+0 5,916E+3 3,274E-9
2,066E+0 2,731E-1 2,581E-1 0,000E+0 0,000E+0 5,946E+3 2,181E-9
2,086E+0 2,713E-1 2,635E-1 0,000E+0 0,000E+0 5,976E+3 2,270E-9
2,105E+0 2,695E-1 2,688E-1 0,000E+0 0,000E+0 6,006E+3 1,069E-8
2,122E+0 2,675E-1 2,739E-1 0,000E+0 0,000E+0 6,036E+3 1,326E-8
2,138E+0 2,657E-1 2,788E-1 0,000E+0 0,000E+0 6,066E+3 3,421E-9
2,153E+0 2,639E-1 2,841E-1 0,000E+0 0,000E+0 6,096E+3 2,206E-9
2,166E+0 2,616E-1 2,890E-1 0,000E+0 0,000E+0 6,126E+3 1,833E-9
2,178E+0 2,594E-1 2,941E-1 0,000E+0 0,000E+0 6,156E+3 2,365E-9
2,189E+0 2,568E-1 2,989E-1 0,000E+0 0,000E+0 6,186E+3 1,490E-8
2,198E+0 2,542E-1 3,039E-1 0,000E+0 0,000E+0 6,216E+3 1,452E-8
2,206E+0 2,515E-1 3,086E-1 0,000E+0 0,000E+0 6,246E+3 2,640E-9
2,213E+0 2,487E-1 3,129E-1 0,000E+0 0,000E+0 6,276E+3 1,587E-9
2,218E+0 2,456E-1 3,177E-1 0,000E+0 0,000E+0 6,306E+3 1,730E-9
2,223E+0 2,426E-1 3,216E-1 0,000E+0 0,000E+0 6,336E+3 1,845E-9
2,226E+0 2,392E-1 3,264E-1 0,000E+0 0,000E+0 6,366E+3 4,134E-9
2,229E+0 2,356E-1 3,310E-1 0,000E+0 0,000E+0 6,396E+3 3,754E-9
2,230E+0 2,316E-1 3,346E-1 0,000E+0 0,000E+0 6,426E+3 2,734E-9
2,231E+0 2,275E-1 3,389E-1 0,000E+0 0,000E+0 6,456E+3 1,703E-9
2,232E+0 2,232E-1 3,429E-1 0,000E+0 0,000E+0 6,486E+3 1,260E-9
2,230E+0 2,189E-1 3,466E-1 0,000E+0 0,000E+0 6,517E+3 1,176E-9
2,229E+0 2,143E-1 3,506E-1 0,000E+0 0,000E+0 6,547E+3 1,728E-9
2,227E+0 2,095E-1 3,542E-1 0,000E+0 0,000E+0 6,577E+3 3,018E-9
2,224E+0 2,040E-1 3,582E-1 0,000E+0 0,000E+0 6,607E+3 2,803E-9
2,221E+0 1,989E-1 3,615E-1 0,000E+0 0,000E+0 6,637E+3 1,636E-9
2,217E+0 1,934E-1 3,646E-1 0,000E+0 0,000E+0 6,667E+3 2,486E-9
2,213E+0 1,878E-1 3,682E-1 0,000E+0 0,000E+0 6,697E+3 6,498E-9
2,208E+0 1,817E-1 3,708E-1 0,000E+0 0,000E+0 6,727E+3 5,649E-9
2,202E+0 1,755E-1 3,738E-1 0,000E+0 0,000E+0 6,757E+3 2,281E-9
2,196E+0 1,692E-1 3,764E-1 0,000E+0 0,000E+0 6,787E+3 2,840E-9
2,190E+0 1,625E-1 3,792E-1 0,000E+0 0,000E+0 6,817E+3 1,649E-9
2,183E+0 1,559E-1 3,819E-1 0,000E+0 0,000E+0 6,847E+3 1,917E-9
2,176E+0 1,487E-1 3,842E-1 0,000E+0 0,000E+0 6,877E+3 4,487E-9
2,168E+0 1,416E-1 3,863E-1 0,000E+0 0,000E+0 6,907E+3 3,599E-9
2,161E+0 1,342E-1 3,883E-1 0,000E+0 0,000E+0 6,937E+3 1,571E-9
2,152E+0 1,268E-1 3,901E-1 0,000E+0 0,000E+0 6,967E+3 2,300E-9
2,143E+0 1,189E-1 3,921E-1 0,000E+0 0,000E+0 6,997E+3 1,935E-9
2,134E+0 1,110E-1 3,936E-1 0,000E+0 0,000E+0 7,027E+3 1,699E-9
2,124E+0 1,031E-1 3,947E-1 0,000E+0 0,000E+0 7,057E+3 1,881E-9
2,114E+0 9,500E-2 3,960E-1 0,000E+0 0,000E+0 7,087E+3 1,556E-9
2,104E+0 8,661E-2 3,968E-1 0,000E+0 0,000E+0 7,117E+3 1,499E-9
2,093E+0 7,788E-2 3,975E-1 0,000E+0 0,000E+0 7,147E+3 1,539E-9
2,083E+0 6,949E-2 3,983E-1 0,000E+0 0,000E+0 7,177E+3 8,988E-10
2,071E+0 6,110E-2 3,985E-1 0,000E+0 0,000E+0 7,207E+3 1,325E-9
2,059E+0 5,221E-2 3,987E-1 0,000E+0 0,000E+0 7,237E+3 1,564E-9
2,048E+0 4,332E-2 3,987E-1 0,000E+0 0,000E+0 7,267E+3 1,314E-9
2,036E+0 3,427E-2 3,983E-1 0,000E+0 0,000E+0 7,297E+3 2,020E-9
2,023E+0 2,538E-2 3,982E-1 0,000E+0 0,000E+0 7,327E+3 1,354E-9
2,010E+0 1,616E-2 3,975E-1 0,000E+0 0,000E+0 7,357E+3 1,157E-9
1,997E+0 6,948E-3 3,965E-1 0,000E+0 0,000E+0 7,387E+3 2,807E-9
1,984E+0 -2,104E-3 3,959E-1 0,000E+0 0,000E+0 7,417E+3 3,958E-9
1,971E+0 -1,132E-2 3,947E-1 0,000E+0 0,000E+0 7,447E+3 1,527E-9
1,957E+0 -2,087E-2 3,932E-1 0,000E+0 0,000E+0 7,477E+3 1,546E-9
1,944E+0 -2,992E-2 3,917E-1 0,000E+0 0,000E+0 7,508E+3 1,340E-9
1,929E+0 -3,881E-2 3,896E-1 0,000E+0 0,000E+0 7,538E+3 1,095E-9
1,915E+0 -4,835E-2 3,873E-1 0,000E+0 0,000E+0 7,568E+3 2,110E-9
1,901E+0 -5,724E-2 3,848E-1 0,000E+0 0,000E+0 7,598E+3 1,256E-9
1,886E+0 -6,662E-2 3,824E-1 0,000E+0 0,000E+0 7,628E+3 8,268E-10
1,871E+0 -7,551E-2 3,794E-1 0,000E+0 0,000E+0 7,658E+3 9,647E-10
1,856E+0 -8,456E-2 3,768E-1 0,000E+0 0,000E+0 7,688E+3 1,895E-9
1,840E+0 -9,361E-2 3,736E-1 0,000E+0 0,000E+0 7,718E+3 1,990E-9
1,825E+0 -1,022E-1 3,703E-1 0,000E+0 0,000E+0 7,748E+3 2,486E-9
1,810E+0 -1,109E-1 3,666E-1 0,000E+0 0,000E+0 7,778E+3 1,068E-9
1,795E+0 -1,198E-1 3,629E-1 0,000E+0 0,000E+0 7,808E+3 1,500E-9
1,779E+0 -1,280E-1 3,590E-1 0,000E+0 0,000E+0 7,838E+3 1,366E-9
1,763E+0 -1,366E-1 3,547E-1 0,000E+0 0,000E+0 7,868E+3 9,945E-10
1,747E+0 -1,446E-1 3,503E-1 0,000E+0 0,000E+0 7,898E+3 1,820E-9
1,731E+0 -1,529E-1 3,460E-1 0,000E+0 0,000E+0 7,928E+3 1,708E-9
1,715E+0 -1,608E-1 3,414E-1 0,000E+0 0,000E+0 7,958E+3 1,046E-9
1,699E+0 -1,687E-1 3,371E-1 0,000E+0 0,000E+0 7,988E+3 1,275E-9
1,683E+0 -1,759E-1 3,317E-1 0,000E+0 0,000E+0 8,018E+3 1,456E-9
1,667E+0 -1,836E-1 3,264E-1 0,000E+0 0,000E+0 8,048E+3 3,478E-9
1,650E+0 -1,907E-1 3,210E-1 0,000E+0 0,000E+0 8,078E+3 2,064E-9
1,635E+0 -1,976E-1 3,157E-1 0,000E+0 0,000E+0 8,108E+3 1,742E-9
1,618E+0 -2,044E-1 3,099E-1 0,000E+0 0,000E+0 8,138E+3 9,740E-10
1,602E+0 -2,108E-1 3,045E-1 0,000E+0 0,000E+0 8,168E+3 1,657E-9
1,586E+0 -2,167E-1 2,984E-1 0,000E+0 0,000E+0 8,198E+3 8,646E-10
1,569E+0 -2,231E-1 2,925E-1 0,000E+0 0,000E+0 8,228E+3 1,292E-9
1,552E+0 -2,289E-1 2,866E-1 0,000E+0 0,000E+0 8,258E+3 1,097E-9
