G11_shinriki
06.09.2021
19:41:14
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

7,769E-1 2,341E-2 1,291E-1 1,136E+0 -5,915E-2 3,003E+1 2,553E+0
2,149E+0 2,249E-1 2,122E-1 0,000E+0 0,000E+0 3,333E+3 9,321E-6
2,160E+0 2,278E-1 2,166E-1 0,000E+0 0,000E+0 3,363E+3 1,154E-5
2,171E+0 2,306E-1 2,212E-1 0,000E+0 0,000E+0 3,393E+3 7,744E-6
2,181E+0 2,332E-1 2,258E-1 0,000E+0 0,000E+0 3,423E+3 2,660E-6
2,191E+0 2,362E-1 2,303E-1 0,000E+0 0,000E+0 3,453E+3 2,155E-6
2,200E+0 2,385E-1 2,344E-1 0,000E+0 0,000E+0 3,483E+3 1,516E-6
2,208E+0 2,407E-1 2,395E-1 0,000E+0 0,000E+0 3,514E+3 1,985E-6
2,217E+0 2,428E-1 2,443E-1 0,000E+0 0,000E+0 3,544E+3 1,306E-6
2,224E+0 2,443E-1 2,487E-1 0,000E+0 0,000E+0 3,574E+3 2,336E-6
2,232E+0 2,461E-1 2,537E-1 0,000E+0 0,000E+0 3,604E+3 2,177E-6
2,239E+0 2,472E-1 2,583E-1 0,000E+0 0,000E+0 3,634E+3 1,492E-6
2,245E+0 2,486E-1 2,629E-1 0,000E+0 0,000E+0 3,664E+3 1,465E-6
2,251E+0 2,495E-1 2,675E-1 0,000E+0 0,000E+0 3,694E+3 1,389E-6
2,256E+0 2,504E-1 2,723E-1 0,000E+0 0,000E+0 3,724E+3 1,327E-6
2,261E+0 2,505E-1 2,772E-1 0,000E+0 0,000E+0 3,754E+3 9,726E-7
2,266E+0 2,507E-1 2,818E-1 0,000E+0 0,000E+0 3,784E+3 1,357E-6
2,269E+0 2,512E-1 2,866E-1 0,000E+0 0,000E+0 3,814E+3 1,632E-6
2,273E+0 2,505E-1 2,912E-1 0,000E+0 0,000E+0 3,844E+3 1,029E-6
2,276E+0 2,500E-1 2,956E-1 0,000E+0 0,000E+0 3,874E+3 1,056E-6
2,279E+0 2,497E-1 3,001E-1 0,000E+0 0,000E+0 3,904E+3 5,676E-7
2,281E+0 2,486E-1 3,053E-1 0,000E+0 0,000E+0 3,934E+3 6,049E-7
2,282E+0 2,472E-1 3,096E-1 0,000E+0 0,000E+0 3,964E+3 8,227E-7
2,284E+0 2,459E-1 3,141E-1 0,000E+0 0,000E+0 3,994E+3 2,381E-6
2,285E+0 2,439E-1 3,183E-1 0,000E+0 0,000E+0 4,024E+3 2,820E-6
2,286E+0 2,421E-1 3,226E-1 0,000E+0 0,000E+0 4,054E+3 1,707E-6
2,286E+0 2,400E-1 3,274E-1 0,000E+0 0,000E+0 4,084E+3 1,015E-6
2,285E+0 2,372E-1 3,313E-1 0,000E+0 0,000E+0 4,114E+3 4,486E-7
2,285E+0 2,346E-1 3,358E-1 0,000E+0 0,000E+0 4,144E+3 4,836E-7
2,283E+0 2,318E-1 3,396E-1 0,000E+0 0,000E+0 4,174E+3 4,373E-7
2,282E+0 2,285E-1 3,438E-1 0,000E+0 0,000E+0 4,204E+3 3,292E-7
2,280E+0 2,249E-1 3,476E-1 0,000E+0 0,000E+0 4,234E+3 3,643E-7
2,278E+0 2,209E-1 3,521E-1 0,000E+0 0,000E+0 4,264E+3 5,657E-7
2,275E+0 2,171E-1 3,554E-1 0,000E+0 0,000E+0 4,294E+3 4,761E-7
2,272E+0 2,128E-1 3,593E-1 0,000E+0 0,000E+0 4,324E+3 3,766E-7
2,268E+0 2,084E-1 3,624E-1 0,000E+0 0,000E+0 4,354E+3 3,076E-7
2,264E+0 2,036E-1 3,664E-1 0,000E+0 0,000E+0 4,384E+3 5,686E-7
2,260E+0 1,987E-1 3,694E-1 0,000E+0 0,000E+0 4,414E+3 3,708E-7
2,255E+0 1,936E-1 3,727E-1 0,000E+0 0,000E+0 4,444E+3 2,443E-7
2,250E+0 1,882E-1 3,754E-1 0,000E+0 0,000E+0 4,474E+3 2,988E-7
2,244E+0 1,822E-1 3,792E-1 0,000E+0 0,000E+0 4,505E+3 3,319E-7
2,239E+0 1,768E-1 3,814E-1 0,000E+0 0,000E+0 4,535E+3 2,741E-7
2,232E+0 1,704E-1 3,840E-1 0,000E+0 0,000E+0 4,565E+3 1,702E-7
2,226E+0 1,643E-1 3,866E-1 0,000E+0 0,000E+0 4,595E+3 1,802E-7
2,219E+0 1,577E-1 3,894E-1 0,000E+0 0,000E+0 4,625E+3 2,351E-7
2,212E+0 1,508E-1 3,914E-1 0,000E+0 0,000E+0 4,655E+3 6,268E-7
2,204E+0 1,442E-1 3,936E-1 0,000E+0 0,000E+0 4,685E+3 6,070E-7
2,196E+0 1,371E-1 3,957E-1 0,000E+0 0,000E+0 4,715E+3 5,356E-7
2,188E+0 1,301E-1 3,973E-1 0,000E+0 0,000E+0 4,745E+3 3,689E-7
2,179E+0 1,225E-1 3,993E-1 0,000E+0 0,000E+0 4,775E+3 1,831E-7
2,170E+0 1,149E-1 4,006E-1 0,000E+0 0,000E+0 4,805E+3 1,123E-7
2,161E+0 1,073E-1 4,018E-1 0,000E+0 0,000E+0 4,835E+3 1,402E-7
2,151E+0 9,961E-2 4,029E-1 0,000E+0 0,000E+0 4,865E+3 8,503E-8
2,141E+0 9,138E-2 4,041E-1 0,000E+0 0,000E+0 4,895E+3 8,061E-8
2,131E+0 8,331E-2 4,051E-1 0,000E+0 0,000E+0 4,925E+3 9,689E-8
2,121E+0 7,525E-2 4,059E-1 0,000E+0 0,000E+0 4,955E+3 1,067E-7
2,110E+0 6,669E-2 4,062E-1 0,000E+0 0,000E+0 4,985E+3 1,588E-7
2,099E+0 5,830E-2 4,066E-1 0,000E+0 0,000E+0 5,015E+3 1,535E-7
2,088E+0 4,957E-2 4,064E-1 0,000E+0 0,000E+0 5,045E+3 8,376E-8
2,076E+0 4,069E-2 4,064E-1 0,000E+0 0,000E+0 5,075E+3 7,156E-8
2,064E+0 3,213E-2 4,062E-1 0,000E+0 0,000E+0 5,105E+3 1,138E-7
2,052E+0 2,341E-2 4,056E-1 0,000E+0 0,000E+0 5,135E+3 1,105E-7
2,040E+0 1,435E-2 4,052E-1 0,000E+0 0,000E+0 5,165E+3 8,196E-8
2,027E+0 5,796E-3 4,044E-1 0,000E+0 0,000E+0 5,195E+3 4,735E-8
2,015E+0 -3,421E-3 4,031E-1 0,000E+0 0,000E+0 5,225E+3 4,613E-8
2,001E+0 -1,264E-2 4,018E-1 0,000E+0 0,000E+0 5,255E+3 5,886E-8
1,988E+0 -2,153E-2 4,005E-1 0,000E+0 0,000E+0 5,285E+3 5,474E-8
1,974E+0 -3,041E-2 3,988E-1 0,000E+0 0,000E+0 5,315E+3 1,845E-7
1,961E+0 -3,963E-2 3,967E-1 0,000E+0 0,000E+0 5,345E+3 2,428E-7
1,947E+0 -4,819E-2 3,944E-1 0,000E+0 0,000E+0 5,375E+3 1,452E-7
1,933E+0 -5,740E-2 3,924E-1 0,000E+0 0,000E+0 5,405E+3 1,001E-7
1,919E+0 -6,629E-2 3,898E-1 0,000E+0 0,000E+0 5,435E+3 6,123E-8
1,904E+0 -7,518E-2 3,865E-1 0,000E+0 0,000E+0 5,465E+3 3,319E-8
1,890E+0 -8,390E-2 3,838E-1 0,000E+0 0,000E+0 5,495E+3 3,196E-8
1,875E+0 -9,279E-2 3,807E-1 0,000E+0 0,000E+0 5,526E+3 2,706E-8
1,861E+0 -1,012E-1 3,773E-1 0,000E+0 0,000E+0 5,556E+3 2,894E-8
1,846E+0 -1,099E-1 3,738E-1 0,000E+0 0,000E+0 5,586E+3 2,141E-8
1,831E+0 -1,181E-1 3,702E-1 0,000E+0 0,000E+0 5,616E+3 3,201E-8
