Richter_pendel
06.09.2021
17:01:56
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-80s
Chaos_Versuch
t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)

4,000E-2 2,623E+0 1,239E-1 4,736E-1 -8,241E-3 1,250E-2 2,659E+0 7,473E-5
2,680E+0 9,709E-1 -4,767E-1 0,000E+0 0,000E+0 8,375E-1 1,189E-4 4,112E-4
2,720E+0 9,151E-1 -4,749E-1 0,000E+0 0,000E+0 8,500E-1 6,704E-5 2,377E-4
2,760E+0 8,597E-1 -4,653E-1 0,000E+0 0,000E+0 8,625E-1 3,456E-5 1,275E-4
2,800E+0 8,055E-1 -4,525E-1 0,000E+0 0,000E+0 8,750E-1 6,714E-5 2,565E-4
2,840E+0 7,526E-1 -4,352E-1 0,000E+0 0,000E+0 8,875E-1 6,816E-5 2,646E-4
2,880E+0 7,018E-1 -4,081E-1 0,000E+0 0,000E+0 9,000E-1 1,998E-5 7,934E-5
2,920E+0 6,543E-1 -3,730E-1 0,000E+0 0,000E+0 9,125E-1 4,347E-6 1,766E-5
2,960E+0 6,107E-1 -3,340E-1 0,000E+0 0,000E+0 9,250E-1 1,343E-6 5,751E-6
3,000E+0 5,715E-1 -2,878E-1 0,000E+0 0,000E+0 9,375E-1 1,227E-5 5,436E-5
3,040E+0 5,378E-1 -2,324E-1 0,000E+0 0,000E+0 9,500E-1 1,991E-5 8,889E-5
3,080E+0 5,103E-1 -1,711E-1 0,000E+0 0,000E+0 9,625E-1 1,370E-5 6,348E-5
3,120E+0 4,897E-1 -1,072E-1 0,000E+0 0,000E+0 9,750E-1 2,218E-5 1,042E-4
3,160E+0 4,764E-1 -4,050E-2 0,000E+0 0,000E+0 9,875E-1 1,479E-5 7,145E-5
3,200E+0 4,705E-1 2,922E-2 0,000E+0 0,000E+0 1,000E+0 9,205E-6 4,560E-5
3,240E+0 4,723E-1 9,975E-2 0,000E+0 0,000E+0 1,013E+0 2,910E-6 1,478E-5
3,280E+0 4,819E-1 1,664E-1 0,000E+0 0,000E+0 1,025E+0 6,546E-6 3,465E-5
3,320E+0 4,989E-1 2,276E-1 0,000E+0 0,000E+0 1,038E+0 1,092E-5 5,847E-5
3,360E+0 5,225E-1 2,830E-1 0,000E+0 0,000E+0 1,050E+0 4,277E-6 2,336E-5
3,400E+0 5,521E-1 3,328E-1 0,000E+0 0,000E+0 1,063E+0 2,317E-6 1,291E-5
3,440E+0 5,870E-1 3,749E-1 0,000E+0 0,000E+0 1,075E+0 3,339E-6 1,968E-5
3,480E+0 6,264E-1 4,061E-1 0,000E+0 0,000E+0 1,088E+0 7,865E-6 4,614E-5
3,520E+0 6,690E-1 4,267E-1 0,000E+0 0,000E+0 1,100E+0 5,622E-7 3,299E-6
3,560E+0 7,136E-1 4,382E-1 0,000E+0 0,000E+0 1,113E+0 1,771E-7 1,131E-6
3,600E+0 7,593E-1 4,424E-1 0,000E+0 0,000E+0 1,125E+0 1,120E-6 7,032E-6
3,640E+0 8,054E-1 4,390E-1 0,000E+0 0,000E+0 1,138E+0 5,246E-7 3,332E-6
3,680E+0 8,508E-1 4,260E-1 0,000E+0 0,000E+0 1,150E+0 8,714E-7 5,800E-6
3,720E+0 8,946E-1 4,064E-1 0,000E+0 0,000E+0 1,163E+0 7,439E-7 4,935E-6
3,760E+0 9,362E-1 3,834E-1 0,000E+0 0,000E+0 1,175E+0 2,006E-9 1,451E-8
3,800E+0 9,753E-1 3,589E-1 0,000E+0 0,000E+0 1,188E+0 8,900E-8 6,325E-7
3,840E+0 1,012E+0 3,303E-1 0,000E+0 0,000E+0 1,200E+0 1,290E-6 9,382E-6
3,880E+0 1,045E+0 2,989E-1 0,000E+0 0,000E+0 1,213E+0 1,573E-6 1,149E-5
3,920E+0 1,075E+0 2,688E-1 0,000E+0 0,000E+0 1,225E+0 1,706E-6 1,284E-5
3,960E+0 1,101E+0 2,401E-1 0,000E+0 0,000E+0 1,238E+0 1,145E-6 8,640E-6
4,000E+0 1,124E+0 2,090E-1 0,000E+0 0,000E+0 1,250E+0 6,291E-7 4,917E-6
4,040E+0 1,144E+0 1,765E-1 0,000E+0 0,000E+0 1,263E+0 3,090E-7 2,412E-6
4,080E+0 1,160E+0 1,479E-1 0,000E+0 0,000E+0 1,275E+0 1,768E-7 1,462E-6
4,120E+0 1,174E+0 1,200E-1 0,000E+0 0,000E+0 1,288E+0 1,002E-6 8,347E-6
4,160E+0 1,184E+0 8,912E-2 0,000E+0 0,000E+0 1,300E+0 1,068E-6 8,948E-6
4,200E+0 1,190E+0 6,117E-2 0,000E+0 0,000E+0 1,313E+0 2,203E-7 1,849E-6
4,240E+0 1,194E+0 3,689E-2 0,000E+0 0,000E+0 1,325E+0 1,088E-7 9,851E-7
4,280E+0 1,195E+0 9,807E-3 0,000E+0 0,000E+0 1,338E+0 3,348E-7 2,989E-6
4,320E+0 1,193E+0 -1,579E-2 0,000E+0 0,000E+0 1,350E+0 1,573E-7 1,439E-6
4,360E+0 1,189E+0 -3,714E-2 0,000E+0 0,000E+0 1,363E+0 6,687E-7 6,189E-6
4,400E+0 1,181E+0 -6,113E-2 0,000E+0 0,000E+0 1,375E+0 8,357E-7 7,801E-6
4,440E+0 1,172E+0 -8,528E-2 0,000E+0 0,000E+0 1,388E+0 3,807E-7 3,610E-6
4,480E+0 1,159E+0 -1,048E-1 0,000E+0 0,000E+0 1,400E+0 2,267E-7 2,231E-6
4,520E+0 1,145E+0 -1,252E-1 0,000E+0 0,000E+0 1,413E+0 1,879E-7 1,887E-6
4,560E+0 1,128E+0 -1,461E-1 0,000E+0 0,000E+0 1,425E+0 1,328E-7 1,347E-6
