G11_pendel
06.09.2021
17:21:54
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
6,880E+0 1,916E+0 1,566E-1 0,000E+0 0,000E+0 1,433E+0 NaN NaN
6,920E+0 1,932E+0 1,606E-1 0,000E+0 0,000E+0 1,442E+0 NaN NaN
6,960E+0 1,950E+0 1,542E-1 0,000E+0 0,000E+0 1,450E+0 NaN NaN
7,000E+0 1,966E+0 1,568E-1 0,000E+0 0,000E+0 1,458E+0 NaN NaN
7,040E+0 1,983E+0 1,581E-1 0,000E+0 0,000E+0 1,467E+0 NaN NaN
7,080E+0 2,000E+0 1,537E-1 0,000E+0 0,000E+0 1,475E+0 NaN NaN
7,120E+0 2,017E+0 1,602E-1 0,000E+0 0,000E+0 1,483E+0 NaN NaN
7,160E+0 2,034E+0 1,578E-1 0,000E+0 0,000E+0 1,492E+0 NaN NaN
7,200E+0 2,051E+0 1,592E-1 0,000E+0 0,000E+0 1,500E+0 NaN NaN
7,240E+0 2,069E+0 1,653E-1 0,000E+0 0,000E+0 1,508E+0 NaN NaN
7,280E+0 2,087E+0 1,623E-1 0,000E+0 0,000E+0 1,517E+0 NaN NaN
7,320E+0 2,104E+0 1,694E-1 0,000E+0 0,000E+0 1,525E+0 NaN NaN
7,360E+0 2,123E+0 1,722E-1 0,000E+0 0,000E+0 1,533E+0 NaN NaN
7,400E+0 2,142E+0 1,727E-1 0,000E+0 0,000E+0 1,542E+0 NaN NaN
7,440E+0 2,161E+0 1,833E-1 0,000E+0 0,000E+0 1,550E+0 NaN NaN
7,480E+0 2,182E+0 1,830E-1 0,000E+0 0,000E+0 1,558E+0 NaN NaN
7,520E+0 2,202E+0 1,908E-1 0,000E+0 0,000E+0 1,567E+0 NaN NaN
7,560E+0 2,224E+0 1,991E-1 0,000E+0 0,000E+0 1,575E+0 NaN NaN
7,600E+0 2,246E+0 2,003E-1 0,000E+0 0,000E+0 1,583E+0 NaN NaN
7,640E+0 2,269E+0 2,137E-1 0,000E+0 0,000E+0 1,592E+0 NaN NaN
7,680E+0 2,293E+0 2,179E-1 0,000E+0 0,000E+0 1,600E+0 NaN NaN
7,720E+0 2,317E+0 2,248E-1 0,000E+0 0,000E+0 1,608E+0 NaN NaN
7,760E+0 2,343E+0 2,383E-1 0,000E+0 0,000E+0 1,617E+0 NaN NaN
7,800E+0 2,370E+0 2,400E-1 0,000E+0 0,000E+0 1,625E+0 NaN NaN
7,840E+0 2,397E+0 2,519E-1 0,000E+0 0,000E+0 1,633E+0 NaN NaN
7,880E+0 2,426E+0 2,606E-1 0,000E+0 0,000E+0 1,642E+0 NaN NaN
7,920E+0 2,455E+0 2,622E-1 0,000E+0 0,000E+0 1,650E+0 NaN NaN
7,960E+0 2,485E+0 2,744E-1 0,000E+0 0,000E+0 1,658E+0 NaN NaN
8,000E+0 2,517E+0 2,764E-1 0,000E+0 0,000E+0 1,667E+0 NaN NaN
