Parameters:
     Ampl. 1=     3983.32
    Lifet. 1=      300.98
     Ampl. 2=    29782.96
    Lifet. 2=       2.943
     Backgr.=     -3475.6
     Backgr.=           0
       Shift=           0

X²: 1.232
tau_amp: 38.1 ns; tau_int: 280.68 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  5.4880	           0	       19338	     19458.3	  -0.8653
  5.5040	           0	       19179	     19355.3	  -1.2730
  5.5200	           0	       19392	     19252.8	   0.9996
  5.5360	           0	       18822	     19150.9	  -2.3972
  5.5520	           0	       18822	     19049.5	  -1.6583
  5.5680	           0	       18594	     18948.7	  -2.6010
  5.5840	           0	       18768	     18848.4	  -0.5868
  5.6000	           0	       18633	     18748.7	  -0.8473
  5.6160	           0	       18624	     18649.5	  -0.1865
  5.6320	           0	       18447	     18550.8	  -0.7642
  5.6480	           0	       18366	     18452.7	  -0.6395
  5.6640	           0	       18527	     18355.1	   1.2632
  5.6800	           0	       18116	     18258.0	  -1.0550
  5.6960	           0	       17959	     18161.4	  -1.5107
  5.7120	           0	       17934	     18065.4	  -0.9814
  5.7280	           0	       18049	     17969.9	   0.5886
  5.7440	           0	       17786	     17874.9	  -0.6668
  5.7600	           0	       17732	     17780.5	  -0.3639
  5.7760	           0	       17881	     17686.5	   1.4545
  5.7920	           0	       17423	     17593.0	  -1.2882
  5.8080	           0	       17168	     17500.1	  -2.5345
  5.8240	           0	       17327	     17407.6	  -0.6127
  5.8400	           0	       17201	     17315.7	  -0.8746
  5.8560	           0	       17102	     17224.3	  -0.9348
  5.8720	           0	       17077	     17133.3	  -0.4308
  5.8880	           0	       16972	     17042.8	  -0.5437
  5.9040	           0	       16906	     16952.9	  -0.3604
  5.9200	           0	       16747	     16863.4	  -0.8993
  5.9360	           0	       16876	     16774.4	   0.7823
  5.9520	           0	       16402	     16685.9	  -2.2164
  5.9680	           0	       16634	     16597.8	   0.2806
  5.9840	           0	       16220	     16510.2	  -2.2790
  6.0000	           0	       16437	     16423.2	   0.1080
  6.0160	           0	       16127	     16336.5	  -1.6500
  6.0320	           0	       16209	     16250.4	  -0.3250
  6.0480	           0	       16210	     16164.7	   0.3558
  6.0640	           0	       16089	     16079.5	   0.0751
  6.0800	           0	       15923	     15994.7	  -0.5683
  6.0960	           0	       15919	     15910.4	   0.0681
  6.1120	           0	       15761	     15826.6	  -0.5222
  6.1280	           0	       15819	     15743.2	   0.6030
  6.1440	           0	       15637	     15660.2	  -0.1857
  6.1600	           0	       15301	     15577.7	  -2.2371
  6.1760	           0	       15621	     15495.7	   1.0027
  6.1920	           0	       15419	     15414.1	   0.0397
  6.2080	           0	       15310	     15332.9	  -0.1851
  6.2240	           0	       15152	     15252.2	  -0.8138
  6.2400	           0	       15000	     15171.9	  -1.4034
  6.2560	           0	       15018	     15092.0	  -0.6041
  6.2720	           0	       14937	     15012.6	  -0.6186
  6.2880	           0	       14805	     14933.6	  -1.0570
  6.3040	           0	       14505	     14855.0	  -2.9065
  6.3200	           0	       14700	     14776.9	  -0.6343
  6.3360	           0	       14690	     14699.2	  -0.0758
  6.3520	           0	       14630	     14621.9	   0.0671
  6.3680	           0	       14338	     14545.0	  -1.7288
  6.3840	           0	       14489	     14468.5	   0.1700
  6.4000	           0	       14158	     14392.5	  -1.9707
  6.4160	           0	       14256	     14316.8	  -0.5096
  6.4320	           0	       14018	     14241.6	  -1.8887
  6.4480	           0	       14094	     14166.8	  -0.6131
  6.4640	           0	       14035	     14092.4	  -0.4843
  6.4800	           0	       13961	     14018.4	  -0.4854
  6.4960	           0	       13786	     13944.7	  -1.3519
  6.5120	           0	       13771	     13871.5	  -0.8565
  6.5280	           0	       13702	     13798.7	  -0.8260
  6.5440	           0	       13459	     13726.3	  -2.3037
  6.5600	           0	       13788	     13654.2	   1.1393
  6.5760	           0	       13406	     13582.6	  -1.5250
  6.5920	           0	       13363	     13511.3	  -1.2829
  6.6080	           0	       13365	     13440.4	  -0.6524
  6.6240	           0	       13078	     13369.9	  -2.5528
  6.6400	           0	       13111	     13299.8	  -1.6490
  6.6560	           0	       13262	     13230.1	   0.2771
  6.6720	           0	       12881	     13160.7	  -2.4647
  6.6880	           0	       12961	     13091.7	  -1.1484
  6.7040	           0	       12998	     13023.1	  -0.2205
  6.7200	           0	       12650	     12954.9	  -2.7108
  6.7360	           0	       12929	     12887.0	   0.3692
  6.7520	           0	       12619	     12819.5	  -1.7850
  6.7680	           0	       12733	     12752.4	  -0.1718
  6.7840	           0	       12611	     12685.6	  -0.6644
  6.8000	           0	       12845	     12619.2	   1.9924
  6.8160	           0	       12226	     12553.1	  -2.9586
  6.8320	           0	       12499	     12487.4	   0.1034
  6.8480	           0	       12388	     12422.1	  -0.3063
  6.8640	           0	       12175	     12357.1	  -1.6504
  6.8800	           0	       12194	     12292.5	  -0.8917
  6.8960	           0	       12162	     12228.2	  -0.6000
  6.9120	           0	       12127	     12164.2	  -0.3381
  6.9280	           0	       12074	     12100.6	  -0.2424
  6.9440	           0	       11913	     12037.4	  -1.1395
  6.9600	           0	       11997	     11974.5	   0.2057
  6.9760	           0	       11818	     11911.9	  -0.8637
