Parameters:
     Ampl. 1=    13877.49
    Lifet. 1=       3.121
     Ampl. 2=   -10901.93
    Lifet. 2=       3.121
     Backgr.=       99.03
     Backgr.=           0
       Shift=           0

X²: 1.049
tau_amp: 3.12 ns; tau_int: 3.12 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  3.5520	           0	       13690	           -	        -
  3.5680	           0	       13601	           -	        -
  3.5840	           0	       13617	           -	        -
  3.6000	           0	       13529	           -	        -
  3.6160	           0	       13472	           -	        -
  3.6320	           0	       13408	           -	        -
  3.6480	           0	       13352	           -	        -
  3.6640	           0	       13403	           -	        -
  3.6800	           0	       13359	           -	        -
  3.6960	           0	       13305	           -	        -
  3.7120	           0	       13233	           -	        -
  3.7280	           0	       13099	           -	        -
  3.7440	           0	       12810	           -	        -
  3.7600	           0	       12953	           -	        -
  3.7760	           0	       12878	           -	        -
  3.7920	           0	       12593	           -	        -
  3.8080	           0	       12666	           -	        -
  3.8240	           0	       12501	           -	        -
  3.8400	           0	       12453	           -	        -
  3.8560	           0	       12358	           -	        -
  3.8720	           0	       12418	           -	        -
  3.8880	           0	       12296	           -	        -
  3.9040	           0	       12036	           -	        -
  3.9200	           0	       12113	           -	        -
  3.9360	           0	       12219	           -	        -
  3.9520	           0	       12098	           -	        -
  3.9680	           0	       12072	           -	        -
  3.9840	           0	       11932	           -	        -
  4.0000	           0	       12088	           -	        -
  4.0160	           0	       11705	           -	        -
  4.0320	           0	       11656	           -	        -
  4.0480	           0	       11691	           -	        -
  4.0640	           0	       11801	           -	        -
  4.0800	           0	       11432	           -	        -
  4.0960	           0	       11358	           -	        -
  4.1120	           0	       11484	           -	        -
  4.1280	           0	       11439	           -	        -
  4.1440	           0	       11084	           -	        -
  4.1600	           0	       11083	           -	        -
  4.1760	           0	       11027	           -	        -
  4.1920	           0	       11042	           -	        -
  4.2080	           0	       11066	           -	        -
  4.2240	           0	       11002	           -	        -
  4.2400	           0	       10814	           -	        -
  4.2560	           0	       10923	           -	        -
  4.2720	           0	       10943	           -	        -
  4.2880	           0	       10777	           -	        -
  4.3040	           0	       10878	           -	        -
  4.3200	           0	       10636	           -	        -
  4.3360	           0	       10632	           -	        -
  4.3520	           0	       10674	           -	        -
  4.3680	           0	       10533	           -	        -
  4.3840	           0	       10500	           -	        -
  4.4000	           0	       10676	           -	        -
  4.4160	           0	       10378	           -	        -
  4.4320	           0	       10380	           -	        -
  4.4480	           0	       10369	           -	        -
  4.4640	           0	       10290	           -	        -
  4.4800	           0	       10043	           -	        -
  4.4960	           0	       10014	           -	        -
  4.5120	           0	        9934	           -	        -
  4.5280	           0	        9996	           -	        -
  4.5440	           0	        9973	           -	        -
  4.5600	           0	        9845	           -	        -
  4.5760	           0	        9841	           -	        -
  4.5920	           0	        9678	           -	        -
  4.6080	           0	        9660	           -	        -
  4.6240	           0	        9711	           -	        -
  4.6400	           0	        9580	           -	        -
  4.6560	           0	        9686	           -	        -
  4.6720	           0	        9534	           -	        -
  4.6880	           0	        9313	           -	        -
  4.7040	           0	        9464	           -	        -
  4.7200	           0	        9212	           -	        -
  4.7360	           0	        9338	           -	        -
  4.7520	           0	        9390	           -	        -
  4.7680	           0	        9236	           -	        -
  4.7840	           0	        9353	           -	        -
  4.8000	           0	        9009	           -	        -
  4.8160	           0	        9073	           -	        -
  4.8320	           0	        9103	           -	        -
  4.8480	           0	        8969	           -	        -
  4.8640	           0	        9001	           -	        -
  4.8800	           0	        8873	           -	        -
  4.8960	           0	        8836	           -	        -
  4.9120	           0	        8848	           -	        -
  4.9280	           0	        8918	           -	        -
  4.9440	           0	        8781	           -	        -
  4.9600	           0	        8758	           -	        -
  4.9760	           0	        8668	           -	        -
  4.9920	           0	        8640	           -	        -
  5.0080	           0	        8363	           -	        -
  5.0240	           0	        8416	           -	        -
  5.0400	           0	        8530	           -	        -
  5.0560	           0	        8389	           -	        -
  5.0720	           0	        8420	           -	        -
  5.0880	           0	        8291	           -	        -
  5.1040	           0	        8301	           -	        -
  5.1200	           0	        8378	           -	        -
  5.1360	           0	        8192	           -	        -
  5.1520	           0	        8205	           -	        -
  5.1680	           0	        8107	           -	        -
  5.1840	           0	        8024	           -	        -
  5.2000	           0	        7661	           -	        -
  5.2160	           0	        7948	           -	        -
  5.2320	           0	        7895	           -	        -
  5.2480	           0	        7989	           -	        -
  5.2640	           0	        7843	           -	        -
  5.2800	           0	        7806	           -	        -
  5.2960	           0	        7645	           -	        -
  5.3120	           0	        7597	           -	        -
  5.3280	           0	        7685	           -	        -
  5.3440	           0	        7638	           -	        -
  5.3600	           0	        7699	           -	        -
  5.3760	           0	        7588	           -	        -
  5.3920	           0	        7551	           -	        -
  5.4080	           0	        7537	           -	        -
  5.4240	           0	        7522	           -	        -
  5.4400	           0	        7298	           -	        -
  5.4560	           0	        7367	           -	        -
  5.4720	           0	        7450	           -	        -
  5.4880	           0	        7267	           -	        -
  5.5040	           0	        7232	           -	        -
  5.5200	           0	        7140	           -	        -
  5.5360	           0	        7160	           -	        -
  5.5520	           0	        7089	           -	        -
  5.5680	           0	        7041	           -	        -
  5.5840	           0	        7090	           -	        -
  5.6000	           0	        7095	           -	        -
  5.6160	           0	        7048	           -	        -
  5.6320	           0	        6914	           -	        -
  5.6480	           0	        6931	           -	        -
  5.6640	           0	        6944	           -	        -
  5.6800	           0	        6890	           -	        -
  5.6960	           0	        6744	           -	        -
  5.7120	           0	        6784	           -	        -
  5.7280	           0	        6863	           -	        -
  5.7440	           0	        6780	           -	        -
  5.7600	           0	        6753	           -	        -
  5.7760	           0	        6888	           -	        -
  5.7920	           0	        6707	           -	        -
  5.8080	           0	        6620	           -	        -
  5.8240	           0	        6494	           -	        -
  5.8400	           0	        6607	           -	        -
  5.8560	           0	        6556	           -	        -
  5.8720	           0	        6522	           -	        -
  5.8880	           0	        6552	           -	        -
  5.9040	           0	        6500	           -	        -
  5.9200	           0	        6512	           -	        -
  5.9360	           0	        6248	           -	        -
