Parameters:
     Ampl. 1=    22966.16
    Lifet. 1=       3.036
     Backgr.=      238.93
     Backgr.=           0
       Shift=           0

X²: 1.373
tau_amp: 3.04 ns; tau_int: 3.04 ns



Time[ns]	         IRF	       Decay	         Fit	  Resids.
  4.2880	           0	       24662	           -	        -
  4.3040	           0	       24762	           -	        -
  4.3200	           0	       24872	           -	        -
  4.3360	           0	       24475	           -	        -
  4.3520	           0	       24550	           -	        -
  4.3680	           0	       24416	           -	        -
  4.3840	           0	       24158	           -	        -
  4.4000	           0	       24043	           -	        -
  4.4160	           0	       24071	           -	        -
  4.4320	           0	       23916	           -	        -
  4.4480	           0	       23506	     23205.1	   1.9627
  4.4640	           0	       23463	     23084.4	   2.4718
  4.4800	           0	       23229	     22964.3	   1.7367
  4.4960	           0	       23280	     22844.9	   2.8519
  4.5120	           0	       23006	     22726.1	   1.8457
  4.5280	           0	       23070	     22607.9	   3.0426
  4.5440	           0	       22980	     22490.3	   3.2304
  4.5600	           0	       22627	     22373.3	   1.6863
  4.5760	           0	       22456	     22257.0	   1.3279
  4.5920	           0	       22721	     22141.3	   3.8459
  4.6080	           0	       22428	     22026.2	   2.6832
  4.6240	           0	       22070	     21911.7	   1.0659
  4.6400	           0	       21988	     21797.7	   1.2830
  4.6560	           0	       22107	     21684.4	   2.8420
  4.6720	           0	       21923	     21571.7	   2.3725
  4.6880	           0	       21827	     21459.6	   2.4868
  4.7040	           0	       21524	     21348.1	   1.1992
  4.7200	           0	       21472	     21237.1	   1.6029
  4.7360	           0	       21290	     21126.8	   1.1188
  4.7520	           0	       21154	     21017.0	   0.9421
  4.7680	           0	       21108	     20907.8	   1.3782
  4.7840	           0	       21070	     20799.1	   1.8661
  4.8000	           0	       21055	     20691.1	   2.5081
  4.8160	           0	       20931	     20583.6	   2.4014
  4.8320	           0	       20454	     20476.6	  -0.1583
  4.8480	           0	       20475	     20370.3	   0.7319
  4.8640	           0	       20547	     20264.5	   1.9710
  4.8800	           0	       20263	     20159.2	   0.7291
  4.8960	           0	       20397	     20054.5	   2.3980
  4.9120	           0	       20144	     19950.4	   1.3643
  4.9280	           0	       20184	     19846.8	   2.3737
  4.9440	           0	       19775	     19743.7	   0.2225
  4.9600	           0	       19917	     19641.2	   1.9543
  4.9760	           0	       19640	     19539.2	   0.7191
  4.9920	           0	       19404	     19437.8	  -0.2425
  5.0080	           0	       19567	     19336.9	   1.6451
  5.0240	           0	       19438	     19236.5	   1.4453
  5.0400	           0	       19373	     19136.6	   1.6981
  5.0560	           0	       19139	     19037.3	   0.7350
  5.0720	           0	       19049	     18938.5	   0.8005
  5.0880	           0	       19164	     18840.2	   2.3388
  5.1040	           0	       18787	     18742.5	   0.3249
  5.1200	           0	       18664	     18645.2	   0.1375
  5.1360	           0	       18460	     18548.5	  -0.6512
  5.1520	           0	       18605	     18452.2	   1.1199
