f	m	t	
	-5.05109E-05	0.127495	
			
			
X in nm	Y Signal 	f	y-f
594.4	0.09975	0.097471321	0.002278679
594.44	0.09705	0.097469301	-0.000419301
594.48	0.09705	0.09746728	-0.00041728
594.52	0.09685	0.09746526	-0.00061526
594.56	0.0973	0.097463239	-0.000163239
594.6	0.10438	0.097461219	0.006918781
594.64	0.09226	0.097459198	-0.005199198
594.68	0.09883	0.097457178	0.001372822
594.72	0.09797	0.097455158	0.000514842
594.76	0.09903	0.097453137	0.001576863
594.8	0.10168	0.097451117	0.004228883
594.84	0.09893	0.097449096	0.001480904
594.88	0.09909	0.097447076	0.001642924
594.92	0.09705	0.097445055	-0.000395055
594.96	0.09807	0.097443035	0.000626965
595	0.09695	0.097441015	-0.000491014
595.04	0.09827	0.097438994	0.000831006
595.08	0.0998	0.097436974	0.002363026
595.12	0.0999	0.097434953	0.002465047
595.16	0.0999	0.097432933	0.002467067
595.2	0.09883	0.097430912	0.001399088
595.24	0.10285	0.097428892	0.005421108
595.28	0.10189	0.097426871	0.004463129
595.32	0.10469	0.097424851	0.007265149
595.36	0.1001	0.097422831	0.002677169
595.4	0.10107	0.09742081	0.00364919
595.44	0.09603	0.09741879	-0.00138879
595.48	0.09593	0.097416769	-0.001486769
595.52	0.10545	0.097414749	0.008035251
595.56	0.09898	0.097412728	0.001567272
595.6	0.09919	0.097410708	0.001779292
595.64	0.09985	0.097408688	0.002441312
595.68	0.09328	0.097406667	-0.004126667
595.72	0.10438	0.097404647	0.006975353
595.76	0.10469	0.097402626	0.007287374
595.8	0.10015	0.097400606	0.002749394
595.84	0.10295	0.097398585	0.005551415
595.88	0.10173	0.097396565	0.004333435
595.92	0.09354	0.097394544	-0.003854544
595.96	0.09797	0.097392524	0.000577476
596	0.09303	0.097390504	-0.004360504
596.04	0.09348	0.097388483	-0.003908483
596.08	0.09705	0.097386463	-0.000336463
596.12	0.1026	0.097384442	0.005215558
596.16	0.09786	0.097382422	0.000477578
596.2	0.10066	0.097380401	0.003279599
596.24	0.10005	0.097378381	0.002671619
596.28	0.10453	0.097376361	0.007153639
596.32	0.10555	0.09737434	0.00817566
596.36	0.10555	0.09737232	0.00817768
596.4	0.10189	0.097370299	0.004519701
596.44	0.10301	0.097368279	0.005641721
596.48	0.09909	0.097366258	0.001723742
596.52	0.10194	0.097364238	0.004575762
596.56	0.10158	0.097362217	0.004217783
596.6	0.10367	0.097360197	0.006309803
596.64	0.10367	0.097358177	0.006311823
596.68	0.09893	0.097356156	0.001573844
596.72	0.10071	0.097354136	0.003355864
596.76	0.09903	0.097352115	0.001677885
596.8	0.10189	0.097350095	0.004539905
596.84	0.09786	0.097348074	0.000511926
596.88	0.10005	0.097346054	0.002703946
596.92	0.09975	0.097344034	0.002405966
596.96	0.1056	0.097342013	0.008257987
597	0.10555	0.097339993	0.008210007
597.04	0.10194	0.097337972	0.004602028
597.08	0.10102	0.097335952	0.003684048
597.12	0.09985	0.097333931	0.002516069
597.16	0.10163	0.097331911	0.004298089
597.2	0.09802	0.097329891	0.000690109
597.24	0.09771	0.09732787	0.00038213
597.28	0.10021	0.09732585	0.00288415
597.32	0.1025	0.097323829	0.005176171
597.36	0.10199	0.097321809	0.004668191
597.4	0.10301	0.097319788	0.005690212
597.44	0.10917	0.097317768	0.011852232
597.48	0.10453	0.097315747	0.007214253
597.52	0.10458	0.097313727	0.007266273
597.56	0.10917	0.097311707	0.011858293
597.6	0.1055	0.097309686	0.008190314
597.64	0.09975	0.097307666	0.002442334
597.68	0.10275	0.097305645	0.005444355
597.72	0.10275	0.097303625	0.005446375
597.76	0.0999	0.097301604	0.002598396
597.8	0.09511	0.097299584	-0.002189584
597.84	0.09511	0.097297564	-0.002187564
597.88	0.10448	0.097295543	0.007184457
597.92	0.09919	0.097293523	0.001896477
597.96	0.1029	0.097291502	0.005608498
598	0.09893	0.097289482	0.001640518
598.04	0.10189	0.097287461	0.004602539
598.08	0.10082	0.097285441	0.003534559
598.12	0.10082	0.09728342	0.00353658
598.16	0.10209	0.0972814	0.0048086
598.2	0.09893	0.09727938	0.00165062
598.24	0.10189	0.097277359	0.004612641
598.28	0.10082	0.097275339	0.003544661
598.32	0.10372	0.097273318	0.006446682
598.36	0.10005	0.097271298	0.002778702
598.4	0.09995	0.097269277	0.002680723
598.44	0.10479	0.097267257	0.007522743
598.48	0.09705	0.097265237	-0.000215237
598.52	0.10189	0.097263216	0.004626784
598.56	0.09893	0.097261196	0.001668804
598.6	0.09781	0.097259175	0.000550825
598.64	0.10387	0.097257155	0.006612845
598.68	0.10453	0.097255134	0.007274866
598.72	0.10458	0.097253114	0.007326886
598.76	0.10173	0.097251094	0.004478906
598.8	0.10448	0.097249073	0.007230927
598.84	0.10301	0.097247053	0.005762947
598.88	0.1029	0.097245032	0.005654968
598.92	0.10189	0.097243012	0.004646988
598.96	0.10173	0.097240991	0.004489009
599	0.10189	0.097238971	0.004651029
599.04	0.10357	0.09723695	0.00633305
599.08	0.10097	0.09723493	0.00373507
599.12	0.10637	0.09723291	0.00913709
599.16	0.10362	0.097230889	0.006389111
599.2	0.10082	0.097228869	0.003591131
599.24	0.10448	0.097226848	0.007253152
599.28	0.10199	0.097224828	0.004765172
599.32	0.10168	0.097222807	0.004457193
599.36	0.10718	0.097220787	0.009959213
599.4	0.10178	0.097218767	0.004561233
599.44	0.10285	0.097216746	0.005633254
599.48	0.10749	0.097214726	0.010275274
599.52	0.10759	0.097212705	0.010377295
599.56	0.10469	0.097210685	0.007479315
599.6	0.10458	0.097208664	0.007371336
599.64	0.10265	0.097206644	0.005443356
599.68	0.10092	0.097204623	0.003715377
599.72	0.1056	0.097202603	0.008397397
599.76	0.10443	0.097200583	0.007229417
599.8	0.10082	0.097198562	0.003621438
599.84	0.10906	0.097196542	0.011863458
599.88	0.10942	0.097194521	0.012225479
599.92	0.10285	0.097192501	0.005657499
599.96	0.1113	0.09719048	0.01410952
600	0.1001	0.09718846	0.00291154
600.04	0.11054	0.09718644	0.01335356
600.08	0.10275	0.097184419	0.005565581
600.12	0.10153	0.097182399	0.004347601
600.16	0.1082	0.097180378	0.011019622
600.2	0.10835	0.097178358	0.011171642
600.24	0.09517	0.097176337	-0.002006337
600.28	0.1085	0.097174317	0.011325683
600.32	0.10723	0.097172297	0.010057703
600.36	0.1026	0.097170276	0.005429724
600.4	0.10265	0.097168256	0.005481744
600.44	0.10117	0.097166235	0.004003765
600.48	0.10066	0.097164215	0.003495785
600.52	0.10275	0.097162194	0.005587806
600.56	0.10733	0.097160174	0.010169826
600.6	0.1054	0.097158153	0.008241847
600.64	0.0972	0.097156133	4.3867E-05
600.68	0.10367	0.097154113	0.006515887
600.72	0.1055	0.097152092	0.008347908
600.76	0.1056	0.097150072	0.008449928
600.8	0.10744	0.097148051	0.010291949
600.84	0.10372	0.097146031	0.006573969
600.88	0.10285	0.09714401	0.00570599
600.92	0.10458	0.09714199	0.00743801
600.96	0.10637	0.09713997	0.00923003
601	0.10438	0.097137949	0.007242051
601.04	0.09898	0.097135929	0.001844071
601.08	0.09919	0.097133908	0.002056092
601.12	0.10275	0.097131888	0.005618112
601.16	0.1057	0.097129867	0.008570133
601.2	0.1084	0.097127847	0.011272153
