G11_pendel
06.09.2021
17:20:15
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
3,600E+0 2,388E+0 4,212E-1 0,000E+0 0,000E+0 7,500E-1 NaN NaN
3,640E+0 2,435E+0 4,269E-1 0,000E+0 0,000E+0 7,583E-1 NaN NaN
3,680E+0 2,483E+0 4,229E-1 0,000E+0 0,000E+0 7,667E-1 NaN NaN
3,720E+0 2,531E+0 4,265E-1 0,000E+0 0,000E+0 7,750E-1 NaN NaN
3,760E+0 2,579E+0 4,261E-1 0,000E+0 0,000E+0 7,833E-1 NaN NaN
3,800E+0 2,627E+0 4,167E-1 0,000E+0 0,000E+0 7,917E-1 NaN NaN
3,840E+0 2,674E+0 4,137E-1 0,000E+0 0,000E+0 8,000E-1 NaN NaN
3,880E+0 2,721E+0 4,052E-1 0,000E+0 0,000E+0 8,083E-1 NaN NaN
3,920E+0 2,766E+0 3,855E-1 0,000E+0 0,000E+0 8,167E-1 NaN NaN
3,960E+0 2,809E+0 3,709E-1 0,000E+0 0,000E+0 8,250E-1 NaN NaN
4,000E+0 2,851E+0 3,534E-1 0,000E+0 0,000E+0 8,333E-1 NaN NaN
4,040E+0 2,891E+0 3,221E-1 0,000E+0 0,000E+0 8,417E-1 NaN NaN
4,080E+0 2,927E+0 2,907E-1 0,000E+0 0,000E+0 8,500E-1 NaN NaN
4,120E+0 2,960E+0 2,630E-1 0,000E+0 0,000E+0 8,583E-1 NaN NaN
4,160E+0 2,990E+0 2,237E-1 0,000E+0 0,000E+0 8,667E-1 NaN NaN
4,200E+0 3,015E+0 1,764E-1 0,000E+0 0,000E+0 8,750E-1 NaN NaN
4,240E+0 3,035E+0 1,326E-1 0,000E+0 0,000E+0 8,833E-1 NaN NaN
4,280E+0 3,050E+0 9,003E-2 0,000E+0 0,000E+0 8,917E-1 NaN NaN
4,320E+0 3,060E+0 4,018E-2 0,000E+0 0,000E+0 9,000E-1 NaN NaN
4,360E+0 3,064E+0 -1,463E-2 0,000E+0 0,000E+0 9,083E-1 NaN NaN
4,400E+0 3,063E+0 -6,380E-2 0,000E+0 0,000E+0 9,167E-1 NaN NaN
4,440E+0 3,056E+0 -1,056E-1 0,000E+0 0,000E+0 9,250E-1 NaN NaN
4,480E+0 3,044E+0 -1,504E-1 0,000E+0 0,000E+0 9,333E-1 NaN NaN
4,520E+0 3,028E+0 -1,987E-1 0,000E+0 0,000E+0 9,417E-1 NaN NaN
4,560E+0 3,006E+0 -2,379E-1 0,000E+0 0,000E+0 9,500E-1 NaN NaN
4,600E+0 2,980E+0 -2,659E-1 0,000E+0 0,000E+0 9,583E-1 NaN NaN
4,640E+0 2,951E+0 -2,916E-1 0,000E+0 0,000E+0 9,667E-1 NaN NaN
4,680E+0 2,919E+0 -3,180E-1 0,000E+0 0,000E+0 9,750E-1 NaN NaN
4,720E+0 2,885E+0 -3,375E-1 0,000E+0 0,000E+0 9,833E-1 NaN NaN
4,760E+0 2,848E+0 -3,451E-1 0,000E+0 0,000E+0 9,917E-1 NaN NaN
4,800E+0 2,811E+0 -3,476E-1 0,000E+0 0,000E+0 1,000E+0 NaN NaN
