x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz),relFreq(THz),relx(A)
122.8811,0.1264,9.834452185053522e-06,-9.016554781494934e-05,0.001947879426425,,,780.2460231162792,384.2281141051356,,
122.9029,0.1265,-1.5264339043558062e-05,-1.5264339043558062e-05,0.0015403340994337,,,780.2460433953489,384.22810411881295,,
122.9144,0.1271,-2.850452707697793e-05,-2.850452707697793e-05,0.0012836014728098,,,780.2460540930233,384.228098850799,,
122.927,0.1272,-4.301116787885917e-05,-4.301116787885917e-05,0.0011214422471175,,,780.2460658139536,384.2280930788881,,
122.9387,0.1274,4.351837994801683e-05,-5.64816200519791e-05,0.0011637229661176,,,780.2460766976744,384.22808771925673,,
122.95,0.1273,3.050845605426928e-05,-6.949154394572665e-05,0.0012079769938698,,,780.2460872093023,384.2280825428608,,
122.9623,0.1273,1.6347211461993638e-05,-8.365278853800229e-05,0.0009472977497416,,,780.2460986511628,384.22807690837686,,
122.9726,0.1274,4.4886082668296745e-06,-9.551139173316624e-05,0.0005964850493741,,,780.2461082325582,384.22807219006927,,
122.9859,0.1274,-1.0823957024029551e-05,-0.000110823957024,0.0005308725333657,,,780.2461206046512,384.2280660974976,,
122.9971,0.1271,-2.371874884789932e-05,-0.0001237187488478,0.0004756198883059,,,780.2461310232559,384.228060966911,,
123.0197,0.1265,-4.973859663533892e-05,-4.973859663533892e-05,0.0006641279438103,,,780.2461520465117,384.2280506141207,,
123.0321,0.1265,-6.401497329749234e-05,-6.401497329749234e-05,0.0005029553724941,,,780.2461635813954,384.22804493382887,,
123.0433,0.1267,-7.69097651213621e-05,-7.69097651213621e-05,0.0004477027274343,,,780.246174,384.2280398032429,,
123.0555,0.1267,9.044122356215156e-06,-9.095587764378772e-05,0.0005875168104942,,,780.2461853488372,384.228034214569,,
123.0664,0.1268,-3.505273258104513e-06,-0.0001035052732581,0.0008337441469984,,,780.2461954883721,384.2280292214097,,
123.0766,0.1271,-1.5248744383390689e-05,-0.0001152487443833,0.0011834247738191,,,780.2462049767443,384.2280245489121,,
123.1022,0.1272,-4.472255426652555e-05,-4.472255426652555e-05,0.0015571330136824,,,780.2462287906977,384.2280128218598,,
123.1138,0.1274,4.192212563017966e-05,-5.80778743698232e-05,0.0019999070598706,,,780.2462395813953,384.2280075080396,,
123.1241,0.1276,3.00635224350157e-05,-6.993647756498717e-05,0.002349094359503,,,780.2462491627907,384.2280027897337,,
123.1379,0.1281,1.4175296794878556e-05,-8.582470320512431e-05,0.0024810152075544,,0.0024810152075544,780.246262,384.2279964681202,28.0,123.1379
123.1495,0.1283,8.199766915809037e-07,-9.918002330842196e-05,0.0019237892537424,,,780.2462727906977,384.2279911543003,,
123.1608,0.1279,-1.2189947202138895e-05,-0.0001121899472021,0.0017680432814947,,,780.2462833023257,384.2279859779069,,
123.1713,0.1283,-2.427881453703068e-05,-0.000124278814537,0.0015162439267512,,,780.2462930697675,384.22798116798407,,
123.1844,0.1286,6.063888431183384e-05,-0.0001393611156881,0.0013516180651187,,,780.246305255814,384.2279751670328,,
123.1953,0.1282,-5.1910511302454e-05,-0.0001519105113024,0.0010978454016231,,,780.2463153953489,384.227970173875,,
123.2063,0.1281,3.5424961013372225e-05,-0.0001645750389866,0.0009435794109394,,,780.246325627907,384.2279651349086,,
