Waveleght	Intensity	Error
638.43	0.1054	0.00047
638.48	0.1028	0.00047
638.52	0.10932	0.0005
638.56	0.0999	0.00023
638.6	0.09598	0.00056
638.64	0.0998	0.00034
638.68	0.1	0.00036
638.72	0.10458	0.00036
638.76	0.10087	0.00047
638.8	0.09898	0.00042
638.84	0.10474	0.0005
638.88	0.1026	0.00039
638.92	0.10372	0.00031
638.95	0.10367	0.00036
639.0	0.10362	0.00023
639.04	0.10392	0.00025
639.07	0.10173	0.00056
639.12	0.0997	0.00033
639.16	0.10652	0.00046
639.19	0.09985	0.00025
639.24	0.10367	0.00036
639.28	0.10362	0.00046
639.31	0.1027	0.00038
639.36	0.10173	0.00051
639.4	0.10372	0.00038
639.43	0.09812	0.00044
639.48	0.09873	0.00034
639.52	0.10199	0.00031
639.56	0.10474	0.00038
639.6	0.10438	0.00034
639.64	0.10387	0.00025
639.68	0.10453	0.0002
639.72	0.10448	0.00033
639.76	0.10448	0.00033
639.8	0.10667	0.00039
639.84	0.1028	0.00041
639.88	0.10301	0.00031
639.92	0.10173	0.00051
639.95	0.10275	0.00046
640.0	0.10362	0.00051
640.04	0.09985	0.00047
640.07	0.10082	0.00025
640.12	0.10484	0.00034
640.16	0.10453	0.00031
640.19	0.09995	0.0005
640.24	0.10285	0.00041
640.28	0.10565	0.00046
640.31	0.09995	0.00031
640.36	0.10484	0.00034
640.4	0.10581	0.0004
640.43	0.10484	0.00034
640.48	0.10458	0.00027
640.52	0.10357	0.00027
640.56	0.09883	0.00052
640.6	0.10565	0.00039
640.64	0.10825	0.00042
640.68	0.11105	0.00052
640.72	0.10448	0.00023
640.76	0.10479	0.00023
640.8	0.09812	0.00044
640.84	0.10723	0.00042
640.88	0.097	0.00046
640.92	0.10265	0.00027
640.95	0.10295	0.00033
641.0	0.10357	0.00042
641.04	0.10387	0.00041
641.07	0.10341	0.00047
641.12	0.09914	0.00055
641.16	0.10632	0.00056
641.19	0.09817	0.00051
641.24	0.10856	0.00051
641.28	0.10474	0.00038
641.31	0.10835	0.00033
641.36	0.10835	0.00033
641.4	0.10367	0.00036
641.43	0.10662	0.00048
641.48	0.1055	0.00046
641.52	0.1029	0.00061
641.56	0.10443	0.00041
641.6	0.10835	0.00033
641.64	0.10845	0.00047
641.68	0.10637	0.00025
641.72	0.10637	0.00025
641.76	0.10576	0.00038
641.8	0.1084	0.00025
641.84	0.10535	0.00034
641.88	0.10555	0.0005
641.92	0.10382	0.00034
641.95	0.10362	0.00064
642.0	0.10102	0.00027
642.04	0.10657	0.00038
642.07	0.10744	0.00052
642.12	0.1083	0.00055
642.16	0.11512	0.00061
642.19	0.10275	0.00033
642.24	0.1028	0.00041
642.28	0.11013	0.00044
642.31	0.11227	0.00039
642.36	0.11614	0.00034
642.4	0.10637	0.00034
642.43	0.11298	0.00047
642.48	0.12154	0.00038
642.52	0.12174	0.00057
642.56	0.11497	0.00046
642.6	0.11981	0.0005
642.64	0.11385	0.00036
642.68	0.12627	0.00047
642.72	0.1331	0.00027
642.76	0.13294	0.00041
642.8	0.13473	0.00048
642.84	0.13483	0.0004
642.88	0.13951	0.00034
642.92	0.14328	0.00048
642.95	0.14812	0.00041
643.0	0.14618	0.00041
643.04	0.16217	0.00039
643.07	0.16609	0.00046
643.12	0.16583	0.00031
643.16	0.17062	0.00047
643.19	0.18218	0.00033
