x	Ch0	Ch1	Ch3	Ch4	f	Ch0_b	Ch1_b	Ch3_b	Ch4_b	f-4	Ch4_b1
134.3143	0.0988	0.0243	0.0205	0.3451	0.036889261	0.061910739	-0.012589261	-0.016389261	0.308210739	0.333826534	0.011273466
134.3347	0.0976	0.0238	0.0201	0.3455	0.036902371	0.060697629	-0.013102371	-0.016802371	0.308597629	0.333919995	0.011580005
134.3584	0.0967	0.0234	0.0198	0.3457	0.036917601	0.059782399	-0.013517601	-0.017117601	0.308782399	0.334028574	0.011671426
134.3775	0.0956	0.023	0.0194	0.3458	0.036929875	0.058670125	-0.013929875	-0.017529875	0.308870125	0.334116079	0.011683922
134.3988	0.0945	0.0226	0.0191	0.3456	0.036943563	0.057556437	-0.014343563	-0.017843563	0.308656437	0.334213662	0.011386338
134.4175	0.0935	0.0223	0.0187	0.3451	0.03695558	0.05654442	-0.01465558	-0.01825558	0.30814442	0.334299335	0.010800666
134.4362	0.0927	0.0219	0.0184	0.3445	0.036967597	0.055732403	-0.015067597	-0.018567597	0.307532403	0.334385007	0.010114993
134.4571	0.0917	0.0215	0.0181	0.3439	0.036981028	0.054718972	-0.015481028	-0.018881028	0.306918972	0.334480758	0.009419242
134.4779	0.0907	0.0212	0.0177	0.3434	0.036994395	0.053705605	-0.015794395	-0.019294395	0.306405605	0.334576051	0.008823949
134.499	0.0897	0.0208	0.0173	0.3432	0.037007954	0.052692046	-0.016207954	-0.019707954	0.306192046	0.334672719	0.008527281
134.5194	0.0887	0.0204	0.0169	0.3433	0.037021064	0.051678936	-0.016621064	-0.020121064	0.306278936	0.334766179	0.008533821
134.5403	0.0877	0.02	0.0166	0.3437	0.037034495	0.050665505	-0.017034495	-0.020434495	0.306665505	0.33486193	0.00883807
134.5596	0.0866	0.0197	0.0163	0.3441	0.037046898	0.049553102	-0.017346898	-0.020746898	0.307053102	0.334950351	0.009149649
134.5789	0.0855	0.0193	0.016	0.3447	0.0370593	0.0484407	-0.0177593	-0.0210593	0.3076407	0.335038772	0.009661228
134.6006	0.0844	0.019	0.0158	0.3455	0.037073245	0.047326755	-0.018073245	-0.021273245	0.308426755	0.335138189	0.010361811
134.6207	0.0835	0.0187	0.0155	0.3461	0.037086162	0.046413838	-0.018386162	-0.021586162	0.309013838	0.335230275	0.010869725
