x	CH0	CH1	CH3	CH4	f-4	Ch4_b	a	b	f	CH0_b	CH1_b	CH3_b
141.1715	0.1704	0.0429	0.0365	0.3603	0.847525238	-0.487225238			0.036444436	0.133955564	0.006455564	0.323855564
141.1727	0.1708	0.0428	0.0365	0.3602	0.847532901	-0.487332901			0.036456903	0.134343097	0.006343097	0.323743097
141.1732	0.171	0.0428	0.0365	0.3603	0.847536093	-0.487236093			0.03646937	0.13453063	0.00633063	0.32383063
141.1756	0.1711	0.0428	0.0364	0.3603	0.847551418	-0.487251418			0.036483186	0.134616814	0.006316814	0.323816814
141.177	0.1712	0.0427	0.0364	0.3603	0.847560357	-0.487260357			0.036497131	0.134702869	0.006202869	0.323802869
141.1781	0.1707	0.0427	0.0364	0.3605	0.847567381	-0.487067381			0.036510305	0.134189695	0.006189695	0.323989695
141.1791	0.1706	0.0427	0.0364	0.3606	0.847573766	-0.486973766			0.036524443	0.134075557	0.006175557	0.324075557
141.1796	0.1702	0.0427	0.0364	0.3606	0.847576958	-0.486976958			0.036537424	0.133662576	0.006162576	0.324062576
141.1807	0.1701	0.0427	0.0364	0.3606	0.847583982	-0.486983982			0.036549762	0.133550238	0.006150238	0.324050238
141.1834	0.1702	0.0427	0.0364	0.3607	0.847601222	-0.486901222			0.036562165	0.133637835	0.006137835	0.324137835
141.1836	0.1701	0.0427	0.0364	0.3609	0.847602499	-0.486702499			0.036575082	0.133524918	0.006124918	0.324324918
141.184	0.17	0.0427	0.0364	0.3612	0.847605053	-0.486405053			0.036588448	0.133411552	0.006111552	0.324611552
141.1853	0.1699	0.0427	0.0364	0.3612	0.847613354	-0.486413354			0.036602393	0.133297607	0.006097607	0.324597607
141.1873	0.1697	0.0428	0.0365	0.3614	0.847626124	-0.486226124			0.036614474	0.133085526	0.006185526	0.324785526
141.1888	0.1698	0.0427	0.0364	0.3614	0.847635702	-0.486235702			0.036626684	0.133173316	0.006073316	0.324773316
141.1881	0.1698	0.0427	0.0364	0.3614	0.847631232	-0.486231232			0.036641143	0.133158857	0.006058857	0.324758857
141.1902	0.17	0.0427	0.0364	0.3618	0.847644641	-0.485844641			0.036654317	0.133345683	0.006045683	0.325145683
141.1927	0.1701	0.0427	0.0364	0.3618	0.847660604	-0.485860604			0.036668005	0.133431995	0.006031995	0.325131995
141.1944	0.1699	0.0427	0.0364	0.3615	0.847671459	-0.486171459			0.036680151	0.133219849	0.006019849	0.324819849
141.194	0.1699	0.0427	0.0364	0.3616	0.847668905	-0.486068905			0.036693325	0.133206675	0.006006675	0.324906675
141.193	0.1699	0.0427	0.0364	0.3619	0.84766252	-0.48576252			0.036706434	0.133193566	0.005993566	0.325193566
141.1939	0.17	0.0427	0.0364	0.3622	0.847668266	-0.485468266			0.036718194	0.133281806	0.005981806	0.325481806
141.1971	0.17	0.0427	0.0364	0.3624	0.847688699	-0.485288699			0.036732075	0.133267925	0.005967925	0.325667925
141.1982	0.1701	0.0426	0.0364	0.362	0.847695723	-0.485695723			0.036744285	0.133355715	0.005855715	0.325255715
141.1987	0.1703	0.0426	0.0363	0.3619	0.847698915	-0.485798915			0.036758551	0.133541449	0.005841449	0.325141449
141.2004	0.1707	0.0426	0.0363	0.3622	0.84770977	-0.48550977			0.036771918	0.133928082	0.005828082	0.325428082
141.2004	0.1705	0.0426	0.0363	0.3627	0.84770977	-0.48500977			0.036784963	0.133715037	0.005815037	0.325915037
141.2013	0.1708	0.0426	0.0363	0.3633	0.847715517	-0.484415517			0.036797687	0.134002313	0.005802313	0.326502313
141.2017	0.1708	0.0426	0.0362	0.3631	0.847718071	-0.484618071			0.036810668	0.133989332	0.005789332	0.326289332
141.2037	0.1708	0.0425	0.0362	0.3635	0.847730841	-0.484230841			0.036823264	0.133976736	0.005676736	0.326676736
141.2058	0.1708	0.0425	0.0362	0.3638	0.84774425	-0.48394425			0.036836823	0.133963177	0.005663177	0.326963177
141.2044	0.1706	0.0425	0.0362	0.3641	0.847735311	-0.483635311			0.03685064	0.13374936	0.00564936	0.32724936
141.2077	0.1706	0.0425	0.0362	0.3641	0.847756382	-0.483656382			0.036863428	0.133736572	0.005636572	0.327236572
141.2058	0.1705	0.0425	0.0362	0.364	0.84774425	-0.48374425			0.036876987	0.133623013	0.005623013	0.327123013
141.208	0.1704	0.0425	0.0362	0.3639	0.847758297	-0.483858297			0.036889261	0.133510739	0.005610739	0.327010739
141.2113	0.1704	0.0425	0.0362	0.3641	0.847779369	-0.483679369			0.036902371	0.133497629	0.005597629	0.327197629
141.2108	0.1704	0.0425	0.0361	0.3641	0.847776176	-0.483676176			0.036917601	0.133482399	0.005582399	0.327182399
141.213	0.1703	0.0425	0.0362	0.364	0.847790223	-0.483790223			0.036929875	0.133370125	0.005570125	0.327070125
141.2148	0.1704	0.0424	0.0361	0.3639	0.847801717	-0.483901717			0.036943563	0.133456437	0.005456437	0.326956437
141.2146	0.1705	0.0424	0.0361	0.3639	0.84780044	-0.48390044			0.03695558	0.13354442	0.00544442	0.32694442
141.2166	0.1705	0.0424	0.0361	0.3641	0.84781321	-0.48371321			0.036967597	0.133532403	0.005432403	0.327132403
141.2163	0.1708	0.0424	0.0361	0.3639	0.847811294	-0.483911294			0.036981028	0.133818972	0.005418972	0.326918972
141.2181	0.1707	0.0424	0.036	0.3638	0.847822788	-0.484022788			0.036994395	0.133705605	0.005405605	0.326805605
141.2204	0.1707	0.0424	0.036	0.3637	0.847837474	-0.484137474			0.037007954	0.133692046	0.005392046	0.326692046
141.2201	0.171	0.0423	0.036	0.3634	0.847835558	-0.484435558			0.037021064	0.133978936	0.005278936	0.326378936
