Hg-high_einhuellende_0.dat
05/10/2021
13:29
M1: 60um  Speed 1um/s  filter: 129Hz
position_mm  datamess datacalib
40.3047249390 0.0254244190 0.2537614703
40.3047449390 0.0254187845 0.2537679970
40.3047649390 0.0254134554 0.2537765801
40.3047849390 0.0254084375 0.2537871599
40.3048049390 0.0254037324 0.2537997365
40.3048249390 0.0253993422 0.2538143396
40.3048449390 0.0253952667 0.2538309395
40.3048649390 0.0253915098 0.2538495362
40.3048849390 0.0253880695 0.2538700998
40.3049049390 0.0253849495 0.2538926303
40.3049249390 0.0253821500 0.2539171278
40.3049449390 0.0253796689 0.2539435327
40.3049649390 0.0253775083 0.2539718747
40.3049849390 0.0253756661 0.2540020943
40.3050049390 0.0253741443 0.2540341914
40.3050249390 0.0253729392 0.2540681362
40.3050449390 0.0253720507 0.2541039288
40.3050649390 0.0253714789 0.2541415095
40.3050849390 0.0253712200 0.2541808784
40.3051049390 0.0253712721 0.2542219758
40.3051249390 0.0253716353 0.2542648017
40.3051449390 0.0253723040 0.2543093264
40.3051649390 0.0253732782 0.2543554902
40.3051849390 0.0253745522 0.2544032633
40.3052049390 0.0253761243 0.2544526458
40.3052249390 0.0253779925 0.2545035779
40.3052449390 0.0253801513 0.2545560300
40.3052649390 0.0253825951 0.2546099424
40.3052849390 0.0253853239 0.2546653152
40.3053049390 0.0253883302 0.2547220886
40.3053249390 0.0253916103 0.2547802031
40.3053449390 0.0253951587 0.2548396289
40.3053649390 0.0253989715 0.2549003363
40.3053849390 0.0254030433 0.2549622953
40.3054049390 0.0254073683 0.2550254166
40.3054249390 0.0254119392 0.2550896704
40.3054449390 0.0254167542 0.2551550269
40.3054649390 0.0254218038 0.2552214563
40.3054849390 0.0254270844 0.2552888393
40.3055049390 0.0254325867 0.2553572059
40.3055249390 0.0254383069 0.2554264665
40.3055449390 0.0254442375 0.2554965615
40.3055649390 0.0254503712 0.2555674911
40.3055849390 0.0254567023 0.2556391358
40.3056049390 0.0254632216 0.2557114959
40.3056249390 0.0254699253 0.2557845116
40.3056449390 0.0254768040 0.2558581233
40.3056649390 0.0254838504 0.2559323013
40.3056849390 0.0254910570 0.2560069561
40.3057049390 0.0254984163 0.2560820282
40.3057249390 0.0255059227 0.2561575174
40.3057449390 0.0255135652 0.2562333345
40.3057649390 0.0255213398 0.2563094497
40.3057849390 0.0255292356 0.2563857734
40.3058049390 0.0255372450 0.2564622760
40.3058249390 0.0255453624 0.2565388978
40.3058449390 0.0255535766 0.2566155791
40.3058649390 0.0255618840 0.2566922903
40.3058849390 0.0255702715 0.2567689717
40.3059049390 0.0255787354 0.2568455637
40.3059249390 0.0255872663 0.2569220066
40.3059449390 0.0255958550 0.2569982409
