Lenght	Intensity	Error
8.0946125156	0.4777511358	0.4984672368
8.0949435156	0.6774104238	0.4985345006
8.0952805156	0.810228169	0.4991598725
8.0956170156	0.843393147	0.5033302903
8.0959450156	0.7774608731	0.5008247495
8.0962740156	0.6050984859	0.4994146228
8.0966040156	0.3711243868	0.4988694191
8.0969370156	0.1106003523	0.4995546639
8.0972775156	-0.1026097313	0.5012139678
8.0976135156	-0.241812259	0.5022235513
8.0979520156	-0.2419909984	0.4999968112
8.0982835156	-0.1306002438	0.4939456284
8.0986060156	0.0914976671	0.4976021647
8.0989310156	0.33788535	0.5051444769
8.0992725156	0.5793684125	0.4982449114
8.0996120156	0.7538742423	0.4994942248
8.0999540156	0.8481988311	0.4987791181
8.1002870156	0.8420155644	0.49963516
8.1006175156	0.7251131535	0.5004760623
8.1009480156	0.5254675746	0.5014836788
8.1012815156	0.2758619189	0.5004887581
8.1016220156	0.0099446308	0.4993938506
8.1019635156	-0.185772568	0.5008707047
8.1023095156	-0.2716589868	0.4972790778
8.1026410156	-0.2355471998	0.4969581962
8.1029585156	-0.0820650533	0.4992770255
8.1032795156	0.1646007746	0.4963949621
8.1035920156	0.4256182611	0.4956333935
8.1038995156	0.652534306	0.495046407
8.1042060156	0.8087771535	0.4922416508
8.1045060156	0.8688328862	0.4951749742
8.1048060156	0.8111560941	0.4946471751
8.1051030156	0.6646379828	0.4964623451
8.1054000156	0.4394521713	0.4940669239
8.1056955156	0.1736136675	0.495824188
8.1059945156	-0.079640314	0.4928653836
8.1062925156	-0.2492124289	0.4945792258
8.1066065156	-0.2912203074	0.4961389899
8.1069300156	-0.1933576018	0.4940637648
8.1072535156	-0.0005647916	0.4935748577
8.1075825156	0.2861575484	0.4960410893
8.1079000156	0.5449843407	0.495082885
8.1082125156	0.7461585402	0.4951951206
8.1085425156	0.8562318087	0.4935585558
8.1088620156	0.8721835613	0.4941108823
8.1091850156	0.7609476447	0.4944906235
8.1095125156	0.5679389238	0.4939800799
8.1098380156	0.3309223354	0.4884053469
8.1101740156	-0.0184483416	0.5003113151
8.1104945156	-0.2014167011	0.5079801083
8.1108240156	-0.2688312531	0.4872411191
8.1111620156	-0.2604600489	0.4885529876
8.1114790156	-0.2575470805	0.4959191084
8.1118015156	-0.1768804789	0.4846708775
8.1121395156	0.3192269802	0.4721058607
8.1124710156	0.6618509293	0.5072749257
8.1127945156	0.8175996542	0.494187355
8.1131300156	0.8581923842	0.4822797477
8.1134525156	0.8491639495	0.5023217797
8.1137895156	0.681212008	0.490737468
8.1141340156	0.3553642035	0.4953334033
8.1144605156	0.1358026564	0.5048850775
8.1147900156	-0.1142547131	0.4984378219
8.1151220156	-0.2851212919	0.4969901741
8.1154260156	-0.3233388662	0.5035953522
8.1157300156	-0.2072632462	0.4991980493
8.1160340156	-0.0240692496	0.4993129969
8.1163535156	0.3007157445	0.4996710122
8.1166660156	0.581700325	0.5032117963
8.1169750156	0.7667452097	0.4960433543
8.1172775156	0.8920426369	0.5020168424
8.1175925156	0.8658528924	0.4976056516
8.1178950156	0.7615928054	0.497399956
8.1182055156	0.5445997715	0.5014852881
8.1185125156	0.2753391266	0.4987407327
8.1188220156	-0.000934136	0.4990068376
8.1191340156	-0.2233887911	0.4984068573
8.1194500156	-0.3237894475	0.4985173941
8.1197685156	-0.2852257192	0.5000817776
8.1200860156	-0.0987353548	0.4986847639
8.1204000156	0.1700958014	0.4979509711
8.1207125156	0.4474351406	0.5001835823
8.1210325156	0.6946639419	0.4985444546
8.1213515156	0.8467891812	0.4971878529
8.1216740156	0.9015833139	0.5010504723
8.1220055156	0.8227989674	0.4989391863
8.1223355156	0.6422726512	0.4983232617
8.1226675156	0.3798318207	0.4976636171
8.1229865156	0.1039071158	0.5003364086
8.1233125156	-0.1504123062	0.4995984733
8.1236455156	-0.3144080937	0.5001927614
8.1239590156	-0.3256238401	0.5014188886
8.1242855156	-0.1838131398	0.498675406
8.1246300156	0.0553230569	0.4983183146
8.1249555156	0.3410878778	0.4999254644
8.1252710156	0.602140367	0.4986720085
8.1256120156	0.8052093387	0.4996456802
8.1259600156	0.8934407234	0.4978523552
8.1262995156	0.880381465	0.5005922318
8.1266290156	0.7409378886	0.4997416735
8.1269500156	0.5228686929	0.4992982745
8.1272735156	0.2361354977	0.4987716079
8.1275970156	-0.0344294719	0.5005726814
8.1279200156	-0.2444863468	0.4981215894
8.1282475156	-0.3333133459	0.4997040629
8.1285790156	-0.2793402076	0.5000399351
8.1289120156	-0.0746788755	0.4987727404
8.1292440156	0.1968375742	0.5013523102
8.1295740156	0.4827403128	0.4984577
8.1298900156	0.7228768468	0.5002678037
8.1302070156	0.87556988	0.4998684525
8.1305205156	0.8937515616	0.4960551858
