Lenght	Intensity	Error
8.1355807377	0.9356151223	0.4954257011
8.1359027377	0.1870658696	0.4949162006
8.1362277377	0.0816347972	0.4967762828
8.1365582377	0.7754817605	0.4950992167
8.1368872377	1.4975565672	0.4962849319
8.1372137377	1.6560508013	0.4942205548
8.1375437377	1.1620624065	0.4949058294
8.1378727377	0.3557283878	0.4959668517
8.1382067377	0.0040678009	0.4951459467
8.1385402377	0.5236988068	0.4949363172
8.1388712377	1.333594203	0.4942839444
8.1391922377	1.6939588785	0.4946074486
8.1395032377	1.3830919266	0.4948394895
8.1398222377	0.5781286955	0.4955642819
8.1401412377	-0.0095768664	0.4972321093
8.1404537377	0.2620760202	0.4948114455
8.1407577377	1.1137102842	0.4960213304
8.1410672377	1.6808692217	0.4951092005
8.1413727377	1.5626791716	0.4943358302
8.1416792377	0.8541065454	0.4958234131
8.1419912377	0.093037039	0.4950462282
8.1422992377	0.0610574335	0.4968380034
8.1426097377	0.8413640857	0.4950093329
8.1429142377	1.5714546442	0.4949280322
8.1432267377	1.6786258221	0.4950239062
8.1435402377	1.1142010689	0.4967269599
8.1438502377	0.2489824295	0.4968536794
8.1441537377	-0.0424091481	0.4949175715
8.1444612377	0.5676033497	0.4961354434
8.1447752377	1.4186484814	0.4960080087
8.1450857377	1.7366642952	0.495860815
8.1453967377	1.3456041813	0.4963665903
8.1457052377	0.5021573901	0.497140497
8.1460167377	-0.0788104236	0.4969157875
8.1463362377	0.2956471145	0.4964801669
8.1466422377	1.182857275	0.4981464446
8.1469422377	1.7240152359	0.4975327551
8.1472597377	1.5765775442	0.4982146323
8.1475667377	0.7755141258	0.4970624745
8.1478742377	-0.0048448266	0.49808833
8.1481927377	0.068228133	0.4968414903
8.1485222377	0.918864131	0.4966880381
8.1488542377	1.6420778036	0.4967775941
8.1491772377	1.687785387	0.4962477982
8.1494997377	1.0464245081	0.4978681803
8.1498067377	0.1838024855	0.4996865988
8.1501267377	-0.0723081082	0.4978156984
8.1504467377	0.6329410672	0.4980473518
8.1507742377	1.478983283	0.4983103275
8.1511007377	1.7638503313	0.4973633289
8.1514257377	1.339566946	0.4965081513
8.1517437377	0.44630602	0.4983491898
8.1520607377	-0.1133566052	0.4979968965
8.1523677377	0.3028488755	0.4970313311
8.1526817377	1.2428691387	0.497816503
8.1530107377	1.7493544817	0.4988405704
8.1533462377	1.5394724607	0.4970501363
8.1536742377	0.7475476861	0.4988529384
8.1539987377	-0.0264694467	0.4981712401
8.1543212377	0.0973786861	0.4976817369
8.1546432377	0.9618179798	0.4986789525
8.1549682377	1.6464570761	0.4974918067
8.1552957377	1.6833584309	0.4978754222
8.1556232377	1.0317056179	0.4961869121
8.1559447377	0.1623908728	0.498036027
8.1562712377	-0.0579753034	0.4980835319
8.1565997377	0.6515447497	0.4974215627
8.1569217377	1.4812537432	0.4964324832
8.1572377377	1.7464863062	0.4958845377
8.1575542377	1.2969292402	0.4972620904
8.1578732377	0.4082707465	0.4984829426
8.1581937377	-0.0694941953	0.4946293533
8.1585027377	0.3647458255	0.4962306321
8.1588107377	1.2661976814	0.4966470301
8.1591157377	1.7280515432	0.4942186773
8.1594152377	1.5028347969	0.4953253865
8.1597212377	0.703237474	0.4935488403
8.1600307377	0.0030995684	0.4944509566
8.1603402377	0.1456031203	0.4938507974
8.1606577377	0.9842859507	0.4913911223
8.1609742377	1.6435478926	0.4946067035
8.1612882377	1.6320817471	0.4943595529
8.1615892377	0.9840054512	0.4940998554
8.1618837377	0.1821102351	0.4944824874
8.1621862377	0.0098392069	0.4958554208
8.1624997377	0.7096629739	0.4963893294
8.1628232377	1.4912568331	0.4947284758
8.1631392377	1.6904501915	0.4961796403
8.1634507377	1.2272595167	0.4976224303
8.1637577377	0.4011856616	0.4972119927
8.1640647377	-0.0135957981	0.4975949526
8.1643752377	0.4598080516	0.4993702173
8.1646862377	1.2865608931	0.4975996614
8.1650037377	1.6950374842	0.497548759
8.1653227377	1.4270040989	0.4968287647
8.1656442377	0.6451201439	0.498206079
8.1659627377	0.0398995839	0.4985535145
8.1662852377	0.2579391897	0.4989097714
8.1666047377	1.0525183678	0.4965293705
8.1669217377	1.6301321983	0.4979761243
8.1672477377	1.5621840954	0.4983789623
8.1675762377	0.9150704741	0.4970637858
8.1679117377	0.1803915352	0.4966945052
8.1682472377	0.1127476916	0.4983102381
8.1685872377	0.8076643944	0.4983992279
8.1689237377	1.5088796616	0.4966401756
8.1692467377	1.6512645483	0.4974892437
8.1695732377	1.1464244127	0.4962418079
8.1698967377	0.3685176969	0.4965706468
8.1702202377	0.055591464	0.4962167144
8.1705327377	0.5678341389	0.4976447821
8.1708467377	1.3246269226	0.4963676929
8.1711582377	1.6637231112	0.4967162311
8.1714677377	1.3367129564	0.4947077036
8.1717772377	0.5974517465	0.4962820113
8.1720952377	0.08028844	0.4953868985
8.1724202377	0.3488990068	0.4966065884
8.1727367377	1.1278651953	0.4966389537
8.1730502377	1.6090340614	0.4922766089
8.1733592377	1.4930973053	0.4959167242
8.1736622377	0.8327527046	0.4958483577
8.1739687377	0.1813818663	0.4952212572
8.1742742377	0.1900776625	0.4973301589
8.1745842377	0.8919067383	0.4959737957
8.1748952377	1.5256837606	0.4977429509
8.1752042377	1.5919213295	0.4985876977
8.1755172377	1.0674225092	0.4976072609
