Lenght	Intensity	Error
8.1319655156	0.9084069729	0.1064249277
8.1322605156	0.9001703858	0.0314570591
8.1325560156	0.9193463922	-0.0015361144
8.1328615156	0.9016193151	0.0210921243
8.1331655156	0.9152251482	0.0834712535
8.1334755156	0.907725513	0.1634661257
8.1337750156	0.9066987038	0.2900517583
8.1340750156	0.9218343496	0.3822236359
8.1343750156	0.9020178914	0.4572537243
8.1346690156	0.9213867188	0.50074929
8.1349670156	0.9489236474	0.4974880815
8.1352865156	0.9143245816	0.4459344447
8.1355740156	0.9094097614	0.4115537405
8.1358875156	0.8957501054	0.2737873793
8.1361695156	0.9283869863	0.1309389472
8.1364840156	0.8942197561	0.0548609048
8.1367770156	0.9210901856	0.0004390292
8.1370970156	0.9055977464	0.0109800994
8.1374130156	0.9142659903	0.052946575
8.1377135156	0.9365956187	0.1239477471
8.1380255156	0.9088183045	0.230459705
8.1383170156	0.9155862927	0.3412002623
8.1386225156	0.9144295454	0.4217382371
8.1389270156	0.9185551405	0.4803475738
8.1392280156	0.9223136902	0.4955936372
8.1395130156	0.9230353236	0.4634853601
8.1398030156	0.9274935722	0.3974265754
8.1400925156	0.9280461073	0.2931864262
8.1403820156	0.929818809	0.1856674701
8.1406750156	0.9191218615	0.0910088941
8.1409665156	0.9205028415	0.027409343
8.1412620156	0.9118999243	0.0066931732
8.1415495156	0.9218716025	0.0236470234
8.1418440156	0.9145793319	0.0862635821
8.1421365156	0.9132375717	0.1818010807
8.1424310156	0.91605407	0.2823390365
8.1427170156	0.9293436408	0.3850440383
8.1430015156	0.9186308384	0.4546146393
8.1432835156	0.9228823185	0.4938022196
8.1435725156	0.9197953939	0.4856130481
8.1438565156	0.9203395247	0.4311777949
8.1441380156	0.9181293845	0.3469077945
8.1444200156	0.9275565743	0.2372573316
8.1447045156	0.9143129587	0.1385143697
8.1449935156	0.9223319888	0.0564090647
8.1452860156	0.9137281775	0.0125269564
8.1455665156	0.9247652888	0.0058503957
8.1458480156	0.9145362973	0.0556611344
8.1461440156	0.9183242321	0.1360433251
8.1464245156	0.9236736298	0.2228693664
8.1467135156	0.9179135561	0.3337173164
8.1470100156	0.919013381	0.4267852306
8.1473165156	0.9210267067	0.4827414155
8.1476340156	0.9178372025	0.493881762
8.1479380156	0.9271644354	0.4660257697
8.1482425156	0.921402216	0.3930073678
8.1485345156	0.9181663394	0.2996352017
8.1488305156	0.9154822826	0.1899620593
8.1491280156	0.9234460592	0.0922848508
8.1494350156	0.9197139144	0.025998909
8.1497440156	0.9255490899	0.0031574289
8.1500510156	0.9273228049	0.0210407972
8.1503565156	0.9245228171	0.0857617408
8.1506545156	0.9218032956	0.1788914651
8.1509520156	0.9303953648	0.2786113918
8.1512360156	0.9169729352	0.388882041
8.1515345156	0.9062293172	0.4511323869
8.1518410156	0.9140848517	0.4940375686
8.1521470156	0.9297798276	0.4955027401
8.1524505156	0.965526402	0.4615890086
8.1527585156	0.9249681234	0.3748158813
