Waveleght	Intensity	Error
642.57	0.24704	0.00051
642.62	0.24414	0.00032
642.66	0.24409	0.00042
642.69	0.23762	0.00031
642.74	0.22622	0.00031
642.78	0.22067	0.00042
642.81	0.20835	0.00033
642.85	0.2055	0.00036
642.9	0.20544	0.00032
642.93	0.21502	0.00031
642.97	0.21318	0.00038
643.02	0.21293	0.0004
643.06	0.20921	0.00047
643.09	0.20183	0.00027
643.14	0.20916	0.00046
643.18	0.20926	0.00034
643.21	0.20529	0.00051
643.26	0.20534	0.0005
643.3	0.20102	0.00051
643.33	0.21232	0.00034
643.38	0.19725	0.00048
643.42	0.20178	0.00031
643.45	0.19501	0.00034
643.5	0.19536	0.00038
643.54	0.19979	0.00048
643.57	0.19536	0.00044
643.62	0.19801	0.00041
643.66	0.20453	0.00038
643.69	0.20081	0.00048
643.74	0.19699	0.00047
643.78	0.1972	0.00044
643.81	0.19903	0.00041
643.85	0.19725	0.00036
643.9	0.19068	0.00039
643.93	0.20193	0.00027
643.97	0.18584	0.00025
644.02	0.19699	0.00052
644.06	0.19725	0.00036
644.09	0.19821	0.00031
644.14	0.20234	0.00048
644.18	0.19017	0.00039
644.21	0.19811	0.00052
644.26	0.20275	0.00033
644.3	0.20056	0.00061
644.33	0.20926	0.00047
644.38	0.20931	0.00052
644.42	0.20071	0.0004
644.45	0.20005	0.00047
644.5	0.20356	0.0004
644.54	0.20443	0.00032
644.57	0.20921	0.00047
644.62	0.20631	0.00033
644.66	0.20626	0.00025
644.69	0.2058	0.0004
644.74	0.20636	0.00031
644.78	0.21084	0.00041
644.81	0.22525	0.00053
644.85	0.22352	0.00047
644.9	0.22444	0.00046
644.93	0.22433	0.00053
644.97	0.2168	0.00046
645.02	0.23467	0.00041
645.06	0.24714	0.00042
645.09	0.24119	0.00044
645.14	0.24882	0.00044
645.18	0.24882	0.00031
645.21	0.26181	0.00046
645.26	0.26242	0.00027
645.3	0.27815	0.0005
645.33	0.27143	0.00041
645.38	0.26939	0.00025
645.42	0.27224	0.00031
645.45	0.28752	0.00038
645.5	0.29699	0.0005
645.54	0.29673	0.0004
645.57	0.29297	0.00036
645.62	0.31771	0.00034
645.66	0.30651	0.00041
645.69	0.30361	0.0002
645.74	0.30641	0.00033
645.78	0.31465	0.00047
645.81	0.30651	0.00025
645.85	0.30646	0.00047
645.9	0.30916	0.00046
645.93	0.31297	0.0002
645.97	0.30834	0.00048
646.02	0.3089	0.00059
646.06	0.30732	0.00048
646.09	0.2919	0.00038
646.14	0.29195	0.00027
646.18	0.30804	0.00025
646.21	0.28645	0.00058
646.26	0.28655	0.00046
