Waveleght	Intensity	Error
600.92	0.10275	0.00046
600.95	0.10733	0.00065
601.0	0.1054	0.00034
601.04	0.0972	0.00034
601.07	0.10367	0.00027
601.12	0.1055	0.00056
601.16	0.1056	0.00042
601.19	0.10744	0.00034
601.24	0.10372	0.00044
601.28	0.10285	0.00025
601.31	0.10458	0.00036
601.36	0.10637	0.00034
601.4	0.10438	0.00057
601.43	0.09898	0.00048
601.48	0.09919	0.00065
601.52	0.10275	0.0004
601.56	0.1057	0.00048
601.6	0.1084	0.00025
601.64	0.10744	0.00041
601.68	0.10555	0.00038
601.72	0.10718	0.00032
601.76	0.10723	0.00053
601.8	0.10458	0.00048
601.84	0.10285	0.00047
601.88	0.11115	0.00059
601.92	0.1055	0.0004
601.95	0.10469	0.00036
602.0	0.10178	0.00041
602.04	0.1083	0.00031
602.07	0.10845	0.00025
602.12	0.10362	0.00051
602.16	0.10626	0.00031
602.19	0.10382	0.00041
602.24	0.10377	0.00033
602.28	0.1083	0.00031
602.31	0.10738	0.00052
602.36	0.10733	0.00056
602.4	0.11237	0.0005
602.43	0.10835	0.00033
602.48	0.11222	0.00015
602.52	0.11013	0.00038
602.56	0.10723	0.00036
602.6	0.10652	0.0004
602.64	0.10637	0.00025
602.68	0.11105	0.00025
602.72	0.10637	0.00034
602.76	0.10815	0.00036
602.8	0.10932	0.00038
602.84	0.10464	0.00051
602.88	0.10764	0.00048
602.92	0.10555	0.00059
602.95	0.1055	0.00051
603.0	0.1056	0.00048
603.04	0.10835	0.0004
603.07	0.11482	0.00032
603.12	0.10738	0.00034
603.16	0.11008	0.00033
603.19	0.10749	0.00041
603.24	0.10759	0.00038
603.28	0.10071	0.0004
603.31	0.10458	0.00036
603.36	0.11416	0.00023
603.4	0.11416	0.00023
603.43	0.111	0.00047
603.48	0.1056	0.00036
603.52	0.10555	0.00055
603.56	0.10952	0.00041
603.6	0.11304	0.00047
603.64	0.11192	0.00046
603.68	0.10448	0.00033
603.72	0.10362	0.00051
603.76	0.11273	0.00027
603.8	0.11034	0.00044
603.84	0.11018	0.00042
603.88	0.11619	0.00056
603.92	0.11604	0.00041
603.95	0.11502	0.00041
604.0	0.10952	0.00034
604.04	0.11105	0.00047
604.07	0.11136	0.00038
604.12	0.11125	0.00039
604.16	0.11288	0.00031
604.19	0.10917	0.00053
604.24	0.11024	0.00039
604.28	0.111	0.00034
604.31	0.11314	0.00056
604.36	0.10906	0.0004
604.4	0.11604	0.00052
604.43	0.11594	0.00031
604.48	0.11136	0.00064
604.52	0.11237	0.00031
604.56	0.11125	0.00051
604.6	0.10458	0.00027
604.64	0.11217	0.0005
604.68	0.10927	0.00036
604.72	0.10912	0.00044
604.76	0.11492	0.00044
604.8	0.11105	0.00034
604.84	0.10362	0.00039
604.88	0.11186	0.00044
604.92	0.10942	0.00034
604.95	0.11405	0.00041
605.0	0.11416	0.00023
605.04	0.11024	0.0006
605.07	0.11029	0.00036
605.12	0.10744	0.00047
605.16	0.10642	0.00025
605.19	0.10525	0.00031
605.24	0.11074	0.00051
605.28	0.111	0.00047
605.31	0.11115	0.00044
605.36	0.10367	0.00036
605.4	0.10652	0.00023
605.43	0.10738	0.00065
605.48	0.10932	0.0002
605.52	0.10545	0.00034
605.56	0.11018	0.00027
605.6	0.11008	0.0004
605.64	0.10703	0.0006
605.68	0.11329	0.00046
605.72	0.10723	0.00058
605.76	0.11202	0.00025
605.8	0.11385	0.00042
605.84	0.11298	0.00065
605.88	0.11232	0.00027
605.92	0.11192	0.0004
605.95	0.10947	0.00065
606.0	0.10749	0.00065
606.04	0.10937	0.00065
606.07	0.11507	0.00034
606.12	0.111	0.00041
606.16	0.11375	0.00036
606.19	0.11405	0.00047
606.24	0.1111	0.00051
606.28	0.10927	0.00042
606.31	0.10438	0.00025
606.36	0.11217	0.0005
606.4	0.1081	0.00031
606.43	0.11207	0.00034
606.48	0.11197	0.00025
606.52	0.11288	0.00031
606.56	0.11298	0.00041
606.6	0.10825	0.00042
606.64	0.11517	0.00056
606.68	0.11008	0.00056
606.72	0.11293	0.0004
606.76	0.11115	0.00038
606.8	0.11095	0.00047
606.84	0.11217	0.0002
606.88	0.11212	0.0004
606.92	0.1139	0.0005
606.95	0.11502	0.00034
607.0	0.11416	0.00023
607.04	0.11599	0.0004
607.07	0.11604	0.00034
607.12	0.11314	0.00033
607.16	0.11293	0.00046
607.19	0.1084	0.00041
607.24	0.11512	0.00052
