angel	 rel signal 	s (std. deviation)	angle ber
62.38	0.02909	0.00525	41.26
62.39	0.02741	0.00507	41.27
62.4	0.02655	0.0056	41.28
62.41	0.71898	0.00294	41.29
62.42	0.8636	0.00063	41.3
62.43	0.89847	0.00072	41.31
62.44	0.92583	0.00103	41.32
62.45	0.94252	0.00066	41.33
62.46	0.95817	0.00059	41.34
62.47	0.96943	0.00075	41.35
62.48	0.97798	0.00061	41.36
62.49	0.98494	0.00103	41.37
62.5	0.98761	0.00084	41.38
62.51	0.9858	0.00073	41.39
62.52	0.98128	0.00084	41.4
62.53	0.97273	0.00075	41.41
62.54	0.9617	0.00067	41.42
62.55	0.94677	0.00061	41.43
62.56	0.93311	0.00093	41.44
62.57	0.91141	0.00078	41.45
62.58	0.87116	0.00073	41.46
62.59	0.81246	0.00067	41.47
62.6	0.00336	0.00297	41.48
62.61	0.00281	0.00341	41.49
62.62	0.00209	0.00301	41.5
62.63	0.00261	0.00775	41.51
62.64	0.00227	0.00219	41.52
62.65	0.00569	0.01035	41.53
62.66	0.00809	0.01091	41.54
62.67	0.00867	0.01034	41.55
62.68	0.00895	0.01001	41.56
62.69	0.00917	0.00991	41.57
62.7	0.00971	0.00957	41.58
62.71	0.01161	0.00906	41.59
62.72	0.01297	0.00728	41.6
62.73	0.0084	0.0104	41.61
62.74	0.00899	0.0102	41.62
62.75	0.01048	0.00882	41.63
62.76	0.01179	0.00883	41.64
62.77	0.01306	0.00764	41.65
62.78	0.82539	0.00077	41.66
62.79	0.87749	0.00083	41.67
62.8	0.90734	0.00083	41.68
62.81	0.92931	0.00063	41.69
62.82	0.94324	0.00072	41.7
62.83	0.95645	0.00069	41.71
62.84	0.96812	0.00082	41.72
62.85	0.97666	0.00069	41.73
62.86	0.98399	0.00093	41.74
62.87	0.98729	0.00077	41.75
62.88	0.98621	0.00072	41.76
62.89	0.98408	0.00076	41.77
62.9	0.97571	0.00101	41.78
62.91	0.96631	0.00096	41.79
62.92	0.9522	0.00101	41.8
62.93	0.93827	0.00077	41.81
62.94	0.92086	0.0006	41.82
62.95	0.9001	0.00073	41.83
62.96	0.86284	0.00075	41.84
62.97	0.77166	0.00093	41.85
62.98	0.01104	0.00531	41.86
62.99	0.01235	0.00602	41.87
63	0.01493	0.00736	41.88
63.01	0.01751	0.00955	41.89
63.02	0.02126	0.00978	41.9
63.03	0.02289	0.01025	41.91
63.04	0.02416	0.01013	41.92
63.05	0.02515	0.00998	41.93
63.06	0.0351	0.00341	41.94
63.07	0.03506	0.00315	41.95
63.08	0.03533	0.00285	41.96
63.09	0.03479	0.00337	41.97
63.1	0.0351	0.0035	41.98
63.11	0.03433	0.00389	41.99
63.12	0.03515	0.0041	42
63.13	0.03415	0.00414	42.01
63.14	0.03397	0.00471	42.02
63.15	0.79979	0.00088	42.03
63.16	0.866	0.00063	42.04
63.17	0.90132	0.00061	42.05
63.18	0.92389	0.00107	42.06
63.19	0.94058	0.00109	42.07
63.2	0.95301	0.00093	42.08
63.21	0.9645	0.00066	42.09
63.22	0.97481	0.00083	42.1
63.23	0.98196	0.00097	42.11
63.24	0.98643	0.00085	42.12
63.25	0.98752	0.00094	42.13
63.26	0.98512	0.00083	42.14
63.27	0.98028	0.00075	42.15
