Parameters:
     Ampl. 1=     3477.69
    Lifet. 1=       2.917
     Ampl. 2=      230.85
    Lifet. 2=           0
     Backgr.=      189.46
     Backgr.=           0
       Shift=           0

X²: 1.713
tau_amp: 2.74 ns; tau_int: 2.92 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  5.5840	           0	        3625	      3427.8	   3.2752
  5.6000	           0	        3558	      3410.1	   2.4796
  5.6160	           0	        3461	      3392.5	   1.1648
  5.6320	           0	        3529	      3375.0	   2.5931
  5.6480	           0	        3458	      3357.5	   1.7085
  5.6640	           0	        3365	      3340.2	   0.4275
  5.6800	           0	        3465	      3323.0	   2.4129
  5.6960	           0	        3452	      3305.8	   2.4879
  5.7120	           0	        3375	      3288.8	   1.4841
  5.7280	           0	        3231	      3271.8	  -0.7182
  5.7440	           0	        3412	      3255.0	   2.6884
  5.7600	           0	        3183	      3238.2	  -0.9783
  5.7760	           0	        3294	      3221.5	   1.2629
  5.7920	           0	        3341	      3204.9	   2.3540
  5.8080	           0	        3200	      3188.4	   0.2044
  5.8240	           0	        3233	      3172.0	   1.0722
  5.8400	           0	        3117	      3155.7	  -0.6935
  5.8560	           0	        3307	      3139.5	   2.9128
  5.8720	           0	        3111	      3123.4	  -0.2215
  5.8880	           0	        3162	      3107.3	   0.9726
  5.9040	           0	        3202	      3091.3	   1.9555
  5.9200	           0	        3085	      3075.5	   0.1715
  5.9360	           0	        3053	      3059.7	  -0.1210
  5.9520	           0	        3184	      3044.0	   2.4813
  5.9680	           0	        3055	      3028.4	   0.4818
  5.9840	           0	        3068	      3012.8	   0.9958
  6.0000	           0	        3054	      2997.4	   1.0242
  6.0160	           0	        3015	      2982.0	   0.6003
  6.0320	           0	        3028	      2966.8	   1.1128
  6.0480	           0	        3010	      2951.6	   1.0650
  6.0640	           0	        2945	      2936.5	   0.1573
  6.0800	           0	        2963	      2921.4	   0.7636
  6.0960	           0	        2851	      2906.5	  -1.0393
  6.1120	           0	        2896	      2891.6	   0.0812
  6.1280	           0	        2883	      2876.8	   0.1146
  6.1440	           0	        2825	      2862.1	  -0.6989
  6.1600	           0	        2851	      2847.5	   0.0650
