G11_shinriki
06.09.2021
19:28:22
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,363E+3 9,809E-11
1,526E+0 1,814E-2 1,643E-1 0,000E+0 0,000E+0 3,393E+3 8,443E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 3,423E+3 1,044E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 3,453E+3 9,638E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 3,483E+3 1,035E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,514E+3 1,079E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,544E+3 1,200E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 3,574E+3 1,171E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 3,604E+3 1,132E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,634E+3 8,319E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 3,664E+3 8,318E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 3,694E+3 9,070E-11
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 3,724E+3 8,982E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,754E+3 9,496E-11
1,526E+0 1,814E-2 1,640E-1 0,000E+0 0,000E+0 3,784E+3 1,018E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 3,814E+3 9,978E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 3,844E+3 7,971E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 3,874E+3 9,469E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 3,904E+3 1,138E-10
1,526E+0 1,781E-2 1,645E-1 0,000E+0 0,000E+0 3,934E+3 1,321E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 3,964E+3 8,743E-11
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 3,994E+3 9,686E-11
1,526E+0 1,765E-2 1,645E-1 0,000E+0 0,000E+0 4,024E+3 9,257E-11
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 4,054E+3 9,551E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 4,084E+3 8,351E-11
1,526E+0 1,765E-2 1,643E-1 0,000E+0 0,000E+0 4,114E+3 9,673E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 4,144E+3 9,866E-11
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 4,174E+3 7,160E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 4,204E+3 8,395E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 4,234E+3 1,168E-10
1,526E+0 1,765E-2 1,638E-1 0,000E+0 0,000E+0 4,264E+3 8,512E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 4,294E+3 1,173E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 4,324E+3 1,165E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,354E+3 6,907E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,384E+3 6,655E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 4,414E+3 9,393E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 4,444E+3 1,029E-10
1,526E+0 1,814E-2 1,645E-1 0,000E+0 0,000E+0 4,474E+3 8,429E-11
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 4,505E+3 8,480E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 4,535E+3 8,814E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 4,565E+3 8,188E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 4,595E+3 7,046E-11
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 4,625E+3 8,492E-11
