G11_shinriki
06.09.2021
19:42:12
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,488E-1 -2,863E-1 -1,343E-1 0,000E+0 0,000E+0 3,063E+3 4,087E-6
1,294E-1 -2,766E-1 -1,394E-1 0,000E+0 0,000E+0 3,093E+3 3,667E-6
1,108E-1 -2,666E-1 -1,445E-1 0,000E+0 0,000E+0 3,123E+3 3,321E-6
9,302E-2 -2,557E-1 -1,492E-1 0,000E+0 0,000E+0 3,153E+3 3,713E-6
7,509E-2 -2,455E-1 -1,542E-1 0,000E+0 0,000E+0 3,183E+3 1,981E-6
5,896E-2 -2,348E-1 -1,583E-1 0,000E+0 0,000E+0 3,213E+3 3,044E-6
4,233E-2 -2,241E-1 -1,627E-1 0,000E+0 0,000E+0 3,243E+3 2,101E-6
2,637E-2 -2,136E-1 -1,662E-1 0,000E+0 0,000E+0 3,273E+3 1,302E-6
1,106E-2 -2,031E-1 -1,703E-1 0,000E+0 0,000E+0 3,303E+3 2,662E-6
-3,750E-3 -1,920E-1 -1,734E-1 0,000E+0 0,000E+0 3,333E+3 5,056E-6
-1,741E-2 -1,813E-1 -1,777E-1 0,000E+0 0,000E+0 3,363E+3 2,537E-6
-3,091E-2 -1,706E-1 -1,803E-1 0,000E+0 0,000E+0 3,393E+3 1,316E-6
-4,341E-2 -1,596E-1 -1,831E-1 0,000E+0 0,000E+0 3,423E+3 3,161E-6
-5,510E-2 -1,486E-1 -1,853E-1 0,000E+0 0,000E+0 3,453E+3 1,851E-6
-6,629E-2 -1,376E-1 -1,879E-1 0,000E+0 0,000E+0 3,483E+3 1,844E-6
-7,715E-2 -1,267E-1 -1,899E-1 0,000E+0 0,000E+0 3,514E+3 1,344E-6
-8,670E-2 -1,160E-1 -1,920E-1 0,000E+0 0,000E+0 3,544E+3 1,038E-6
-9,592E-2 -1,045E-1 -1,934E-1 0,000E+0 0,000E+0 3,574E+3 1,249E-6
-1,048E-1 -9,378E-2 -1,952E-1 0,000E+0 0,000E+0 3,604E+3 9,314E-7
-1,120E-1 -8,275E-2 -1,965E-1 0,000E+0 0,000E+0 3,634E+3 7,467E-7
-1,195E-1 -7,189E-2 -1,971E-1 0,000E+0 0,000E+0 3,664E+3 1,047E-6
-1,260E-1 -6,135E-2 -1,985E-1 0,000E+0 0,000E+0 3,694E+3 8,800E-7
-1,313E-1 -5,066E-2 -1,986E-1 0,000E+0 0,000E+0 3,724E+3 8,597E-7
-1,366E-1 -3,996E-2 -1,993E-1 0,000E+0 0,000E+0 3,754E+3 6,444E-7
-1,404E-1 -2,943E-2 -1,996E-1 0,000E+0 0,000E+0 3,784E+3 6,579E-7
-1,440E-1 -1,889E-2 -1,989E-1 0,000E+0 0,000E+0 3,814E+3 1,083E-6
-1,464E-1 -8,358E-3 -1,989E-1 0,000E+0 0,000E+0 3,844E+3 1,000E-6
-1,489E-1 1,846E-3 -1,988E-1 0,000E+0 0,000E+0 3,874E+3 8,324E-7
-1,501E-1 1,205E-2 -1,976E-1 0,000E+0 0,000E+0 3,904E+3 4,871E-7
-1,509E-1 2,209E-2 -1,968E-1 0,000E+0 0,000E+0 3,934E+3 6,049E-7
-1,504E-1 3,229E-2 -1,957E-1 0,000E+0 0,000E+0 3,964E+3 4,833E-7
-1,499E-1 4,200E-2 -1,943E-1 0,000E+0 0,000E+0 3,994E+3 2,586E-7
-1,481E-1 5,171E-2 -1,927E-1 0,000E+0 0,000E+0 4,024E+3 4,150E-7
-1,456E-1 6,159E-2 -1,907E-1 0,000E+0 0,000E+0 4,054E+3 7,208E-7
-1,428E-1 7,114E-2 -1,887E-1 0,000E+0 0,000E+0 4,084E+3 6,179E-7
-1,389E-1 7,986E-2 -1,864E-1 0,000E+0 0,000E+0 4,114E+3 4,094E-7
-1,343E-1 8,891E-2 -1,840E-1 0,000E+0 0,000E+0 4,144E+3 4,111E-7
-1,288E-1 9,813E-2 -1,810E-1 0,000E+0 0,000E+0 4,174E+3 4,954E-7
-1,229E-1 1,067E-1 -1,785E-1 0,000E+0 0,000E+0 4,204E+3 3,477E-7
-1,163E-1 1,152E-1 -1,752E-1 0,000E+0 0,000E+0 4,234E+3 3,076E-7
-1,092E-1 1,233E-1 -1,718E-1 0,000E+0 0,000E+0 4,264E+3 4,690E-7
-1,010E-1 1,315E-1 -1,683E-1 0,000E+0 0,000E+0 4,294E+3 2,837E-7
-9,197E-2 1,396E-1 -1,647E-1 0,000E+0 0,000E+0 4,324E+3 1,955E-7
-8,275E-2 1,470E-1 -1,609E-1 0,000E+0 0,000E+0 4,354E+3 2,207E-7
-7,238E-2 1,547E-1 -1,568E-1 0,000E+0 0,000E+0 4,384E+3 2,210E-7
-6,152E-2 1,618E-1 -1,527E-1 0,000E+0 0,000E+0 4,414E+3 2,077E-7
-5,033E-2 1,689E-1 -1,484E-1 0,000E+0 0,000E+0 4,444E+3 2,913E-7
-3,815E-2 1,758E-1 -1,441E-1 0,000E+0 0,000E+0 4,474E+3 1,671E-7
-2,564E-2 1,822E-1 -1,395E-1 0,000E+0 0,000E+0 4,505E+3 1,503E-7
